ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
000001.SZ,20260701,10.05,10.18,9.99,10.16,10.05,1.0945,906889.82,915838.54912
000002.SZ,20260701,2.98,3.12,2.96,3.08,2.96,4.0541,1648684.52,502802.61761
000004.SZ,20260701,0.37,0.37,0.33,0.37,0.34,8.8235,115105.19,4161.90703
000006.SZ,20260701,7.5,7.65,7.4,7.53,7.48,0.6684,179676.65,135732.57099
000007.SZ,20260701,12.6,12.6,12.1,12.29,12.4,-0.8871,59869.0,73396.009
000008.SZ,20260701,2.34,2.44,2.31,2.39,2.33,2.5751,339337.17,80816.29168
000009.SZ,20260701,6.24,6.38,6.16,6.27,6.23,0.6421,225572.4,141397.09834
000010.SZ,20260701,1.7,1.79,1.68,1.79,1.7,5.2941,189601.0,33589.071
000011.SZ,20260701,6.44,6.69,6.43,6.62,6.48,2.1605,32908.0,21635.523
000012.SZ,20260701,5.06,5.43,4.92,5.25,5.16,1.7442,2088783.19,1071188.49817
000014.SZ,20260701,9.14,9.45,9.1,9.31,9.13,1.9715,61340.05,56941.13954
000016.SZ,20260701,2.33,2.42,2.33,2.42,2.3,5.2174,127156.06,30411.38952
000017.SZ,20260701,6.06,6.29,5.92,6.08,6.12,-0.6536,286145.0,174883.008
000019.SZ,20260701,5.65,5.86,5.63,5.8,5.67,2.2928,70542.2,40817.9418
000020.SZ,20260701,10.89,11.5,10.8,11.17,10.9,2.4771,62191.0,69233.928
000021.SZ,20260701,63.53,66.2,59.59,62.26,64.27,-3.1274,3101964.52,19585847.1114
000025.SZ,20260701,13.38,13.96,13.37,13.75,13.48,2.003,54229.56,74294.99192
000026.SZ,20260701,22.26,22.45,20.9,21.05,21.54,-2.2748,147655.47,314641.41877
000027.SZ,20260701,6.2,6.3,6.1,6.26,6.2,0.9677,408791.67,253774.89073
000028.SZ,20260701,18.92,19.28,18.8,19.25,18.91,1.798,19713.66,37708.07223
000029.SZ,20260701,22.3,23.78,21.85,22.5,22.05,2.0408,105073.47,238865.01927
000030.SZ,20260701,3.87,3.99,3.86,3.96,3.87,2.3256,92573.99,36424.30589
000031.SZ,20260701,2.13,2.22,2.1,2.18,2.12,2.8302,387826.0,84208.508
000032.SZ,20260701,25.19,25.6,23.82,24.0,24.95,-3.8076,645627.31,1593819.75307
000034.SZ,20260701,27.69,28.26,26.61,27.58,27.75,-0.6126,553217.81,1515444.28855
000035.SZ,20260701,4.83,4.88,4.67,4.8,4.83,-0.6211,384207.22,183279.61028
000036.SZ,20260701,4.39,4.47,4.32,4.41,4.37,0.9153,291560.84,128790.97202
000037.SZ,20260701,8.75,9.03,8.73,8.95,8.75,2.2857,192799.0,171927.48199
000039.SZ,20260701,8.11,8.2,7.93,8.09,8.11,-0.2466,315872.15,254914.08213
000042.SZ,20260701,7.65,7.77,7.35,7.66,7.65,0.1307,89665.41,68293.54039
001914.SZ,20260701,8.15,8.39,8.12,8.3,8.16,1.7157,105412.54,87468.91666
000045.SZ,20260701,10.55,10.55,10.22,10.29,10.54,-2.3719,68048.0,70220.492
000048.SZ,20260701,22.09,22.84,21.53,22.5,22.09,1.856,210899.16,472860.34576
000049.SZ,20260701,23.6,23.96,23.1,23.76,23.37,1.6688,73451.13,173902.89341
000050.SZ,20260701,9.9,9.94,9.48,9.6,9.91,-3.1282,843577.94,813039.16261
000055.SZ,20260701,3.38,3.46,3.32,3.4,3.37,0.8902,154733.71,52664.67456
000056.SZ,20260701,2.39,2.39,2.17,2.24,2.28,-1.7544,1033395.02,233676.08692
000058.SZ,20260701,6.12,6.38,6.09,6.3,6.14,2.6059,74293.01,46563.86832
000059.SZ,20260701,3.74,4.13,3.7,4.06,3.75,8.2667,505858.05,199796.61087
000060.SZ,20260701,7.5,7.84,7.43,7.65,7.57,1.0568,1811999.78,1388127.95082
000061.SZ,20260701,5.62,5.78,5.5,5.67,5.6,1.25,271075.6,153750.9304
000062.SZ,20260701,31.7,31.99,30.26,30.49,31.82,-4.1798,416791.03,1294322.81467
000063.SZ,20260701,36.4,38.42,36.28,37.18,36.19,2.7356,2201294.01,8277456.47177
000065.SZ,20260701,9.76,10.03,9.55,9.84,9.83,0.1017,206518.74,202653.12618
000066.SZ,20260701,19.15,19.26,18.18,18.29,19.05,-3.9895,2243694.7,4168864.568
000068.SZ,20260701,2.85,3.11,2.84,3.11,2.83,9.894,197387.01,60256.47685
000069.SZ,20260701,1.63,1.72,1.62,1.68,1.64,2.439,653588.56,109382.78549
000070.SZ,20260701,20.8,21.0,19.39,19.6,20.84,-5.9501,868475.19,1735557.22599
000078.SZ,20260701,1.29,1.35,1.29,1.35,1.29,4.6512,600554.1,80314.42597
000088.SZ,20260701,4.1,4.13,4.06,4.11,4.09,0.489,161005.57,65932.36025
000089.SZ,20260701,6.04,6.24,6.01,6.22,6.03,3.1509,139820.68,86053.32524
000090.SZ,20260701,3.02,3.12,3.0,3.09,3.01,2.6578,214808.01,65810.60361
000096.SZ,20260701,6.97,7.12,6.93,7.06,6.97,1.2912,64255.92,45335.13076
000099.SZ,20260701,14.56,14.72,14.34,14.63,14.56,0.4808,101796.06,147894.80775
000100.SZ,20260701,5.98,6.26,5.86,6.12,5.82,5.1546,26059237.54,15780837.0531
000151.SZ,20260701,10.69,10.81,10.51,10.67,10.7,-0.2804,114806.44,122327.47754
000153.SZ,20260701,5.07,5.27,5.01,5.24,5.07,3.3531,102137.4,52696.5904
000155.SZ,20260701,12.01,12.2,11.71,12.08,11.98,0.8347,330351.71,395180.57964
000156.SZ,20260701,6.36,6.51,6.27,6.41,6.31,1.5848,100678.86,64490.50134
000157.SZ,20260701,6.95,7.07,6.84,7.0,6.97,0.4304,757628.4,527689.03578
000158.SZ,20260701,12.83,13.41,12.8,13.15,12.9,1.938,316552.03,417600.84914
000159.SZ,20260701,5.38,5.51,5.3,5.43,5.38,0.9294,137276.9,74280.96111
000166.SZ,20260701,4.39,4.64,4.38,4.59,4.4,4.3182,1904961.03,866989.53824
000301.SZ,20260701,11.53,12.03,11.45,12.02,11.45,4.9782,241488.44,285481.44988
000333.SZ,20260701,76.01,77.6,73.62,77.4,75.53,2.4758,502241.6,3810029.15873
000338.SZ,20260701,28.11,29.0,27.6,27.8,27.25,2.0183,970998.84,2751394.38654
000400.SZ,20260701,21.69,21.69,20.76,21.26,21.7,-2.0276,248703.66,524292.77481
000401.SZ,20260701,3.34,3.45,3.32,3.42,3.34,2.3952,103437.99,35065.32495
000402.SZ,20260701,2.39,2.53,2.38,2.47,2.41,2.4896,488291.61,120430.05774
000403.SZ,20260701,8.79,9.16,8.65,9.09,8.79,3.413,159436.17,142854.66459
000404.SZ,20260701,7.8,8.32,7.6,8.29,7.86,5.4707,447026.01,355522.13705
000407.SZ,20260701,3.7,3.81,3.68,3.76,3.7,1.6216,156239.0,58819.711
000408.SZ,20260701,68.8,70.23,67.44,68.32,69.32,-1.4426,147875.87,1011825.78866
000409.SZ,20260701,8.24,8.49,8.23,8.43,8.23,2.4301,67692.66,56844.53583
000410.SZ,20260701,4.64,4.85,4.63,4.77,4.64,2.8017,214167.14,102166.50144
000411.SZ,20260701,8.97,9.33,8.95,9.3,9.03,2.99,46383.64,42675.8306
000415.SZ,20260701,4.07,4.2,4.0,4.15,4.07,1.9656,690157.08,284102.52328
000417.SZ,20260701,8.71,9.26,8.61,9.0,8.75,2.8571,849036.98,762748.22892
000419.SZ,20260701,4.5,4.71,4.48,4.66,4.51,3.3259,74702.88,34613.15696
000420.SZ,20260701,4.02,4.11,3.94,4.05,4.05,0.0,977821.66,392679.85562
000421.SZ,20260701,4.96,5.17,4.93,5.1,4.96,2.8226,86217.85,43719.12955
000422.SZ,20260701,13.93,15.44,13.88,15.05,14.05,7.1174,777870.56,1157085.79256
000423.SZ,20260701,45.37,46.17,44.44,46.04,45.36,1.4991,42977.0,195476.726
000425.SZ,20260701,8.09,8.24,7.8,8.13,8.09,0.4944,1522105.87,1221497.60146
000426.SZ,20260701,32.9,34.06,32.21,33.04,32.96,0.2427,602645.81,2000316.66373
000428.SZ,20260701,3.07,3.19,3.04,3.13,3.04,2.9605,129515.15,40634.0271
000429.SZ,20260701,13.68,13.68,13.31,13.48,13.65,-1.2454,60600.38,81678.39175
000430.SZ,20260701,7.3,7.43,7.16,7.37,7.3,0.9589,111206.11,81031.92352
000488.SZ,20260701,1.87,1.94,1.83,1.94,1.88,3.1915,184166.55,34650.42865
000498.SZ,20260701,4.71,4.84,4.69,4.84,4.73,2.3256,76168.09,36441.6742
000501.SZ,20260701,6.69,7.36,6.66,7.12,6.69,6.4275,157297.26,110580.77181
000503.SZ,20260701,6.14,6.6,6.09,6.48,6.15,5.3659,210852.84,135019.746
000504.SZ,20260701,7.2,7.58,7.16,7.4,7.2,2.7778,68193.0,50560.129
000505.SZ,20260701,5.05,5.29,5.02,5.21,5.03,3.5785,98116.88,50903.16914
000506.SZ,20260701,11.58,11.81,11.35,11.46,11.72,-2.2184,353983.93,408038.95515
