ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
920267.BJ,920267,920267,鑫汇科,北交所,北交所,北交所,801080.SI,电子,801085.SI,消费电子,消费电子,L,20220527,1516,4.15,21.02,29.994,14.773,False,True,True,0,0,0,0,True,
920438.BJ,920438,920438,戈碧迦,北交所,北交所,北交所,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20240325,848,2.32,126.61,25.356,40.816,False,True,True,0,0,0,0,True,
688728.SH,688728,688728,格科微,科创板,沪市,科创板,801080.SI,电子,801081.SI,半导体,半导体,L,20210818,1798,4.92,16.9,20.028,51.724,False,True,True,0,0,0,0,True,
300643.SZ,300643,300643,万通智控,创业板,深市,创业板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20170505,3364,9.21,18.64,20.026,11.236,False,True,True,0,0,0,0,True,
301012.SZ,301012,301012,扬电科技,创业板,深市,创业板,801730.SI,电力设备,801738.SI,电网设备,电网设备,L,20210622,1855,5.08,24.46,20.02,23.377,False,True,True,0,0,0,0,True,
300795.SZ,300795,300795,米奥会展,创业板,深市,创业板,801210.SI,社会服务,801218.SI,专业服务,专业服务,L,20191022,2464,6.75,13.31,20.018,29.06,False,True,True,0,0,0,0,True,
301588.SZ,301588,301588,美新科技,创业板,深市,创业板,801140.SI,轻工制造,801142.SI,家居用品,家居用品,L,20240313,860,2.35,33.28,20.014,56.354,False,True,True,0,0,0,0,True,
301421.SZ,301421,301421,波长光电,创业板,深市,创业板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20230823,1063,2.91,70.24,20.007,19.255,False,True,True,0,0,0,0,True,
688328.SH,688328,688328,深科达,科创板,沪市,科创板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20210309,1960,5.37,78.94,20.006,48.551,False,True,True,0,0,0,0,True,
688596.SH,688596,688596,正帆科技,科创板,沪市,科创板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200820,2161,5.92,50.21,20.005,58.73,False,True,True,0,0,0,0,True,
301310.SZ,301310,301310,鑫宏业,创业板,深市,创业板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230602,1145,3.13,64.07,20.004,17.785,False,True,True,0,0,0,0,True,
