ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000034.SZ,000034,000034,神州数码,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,19940509,11818,32.36,23.32,0.952,8.333,False,True,True,0,0,0,0,True,
000158.SZ,000158,000158,常山北明,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20000724,9550,26.15,12.68,0.237,9.091,False,True,True,0,0,0,0,True,
000409.SZ,000409,000409,云鼎科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,19960627,11038,30.22,8.83,-3.497,11.364,False,True,True,0,0,0,0,True,
000555.SZ,000555,000555,神州信息,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,19940408,11849,32.44,10.38,-0.384,8.411,False,True,True,0,0,0,0,True,
000815.SZ,000815,000815,美利云,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,19980609,10326,28.27,15.4,1.919,8.075,False,True,True,0,0,0,0,True,
000938.SZ,000938,000938,紫光股份,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,19991104,9813,26.87,33.98,3.377,14.286,False,True,True,0,0,0,0,True,
002065.SZ,002065,002065,东华软件,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20060823,7329,20.07,6.64,-0.3,11.429,False,True,True,0,0,0,0,True,
002195.SZ,002195,002195,岩山科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20071212,6853,18.76,6.11,0.328,14.063,False,True,True,0,0,0,0,True,
002232.SZ,002232,002232,启明信息,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20080509,6704,18.35,15.95,-5.116,18.493,False,True,True,0,0,0,0,True,
002331.SZ,002331,002331,皖通科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100106,6097,16.69,6.7,0.601,8.571,False,True,True,0,0,0,0,True,
002368.SZ,002368,002368,太极股份,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100312,6032,16.51,13.42,-0.371,11.429,False,True,True,0,0,0,0,True,
002373.SZ,002373,002373,千方科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100318,6026,16.5,7.38,0.545,10.526,False,True,True,0,0,0,0,True,
002380.SZ,002380,002380,科远智慧,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100331,6013,16.46,26.15,1.043,11.429,False,True,True,0,0,0,0,True,
002401.SZ,002401,002401,中远海科,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100506,5977,16.36,11.98,0.335,9.836,False,True,True,0,0,0,0,True,
002421.SZ,002421,002421,达实智能,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100603,5949,16.29,3.17,1.278,9.091,False,True,True,0,0,0,0,True,
002474.SZ,002474,002474,榕基软件,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100915,5845,16.0,6.29,-0.475,6.154,False,True,True,0,0,0,0,True,
002609.SZ,002609,002609,捷顺科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20110815,5511,15.09,7.59,0.931,8.0,False,True,True,0,0,0,0,True,
002642.SZ,002642,002642,荣联科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20111220,5384,14.74,6.92,1.022,6.944,False,True,True,0,0,0,0,True,
002649.SZ,002649,002649,博彦科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20120106,5367,14.69,9.18,0.0,11.224,False,True,True,0,0,0,0,True,
002657.SZ,002657,002657,中科金财,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20120228,5314,14.55,14.93,0.539,10.0,False,True,True,0,0,0,0,True,
002771.SZ,002771,002771,真视通,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20150629,4097,11.22,13.72,-1.79,9.929,False,True,True,0,0,0,0,True,
002777.SZ,002777,002777,久远银海,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20151231,3912,10.71,12.5,0.0,9.375,False,True,True,0,0,0,0,True,
002908.SZ,002908,002908,德生科技,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20171020,3253,8.91,6.85,0.587,11.268,False,True,True,0,0,0,0,True,
003005.SZ,003005,003005,竞业达,主板,深市,主板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20200922,2185,5.98,14.37,2.06,6.25,False,True,True,0,0,0,0,True,
300017.SZ,300017,300017,网宿科技,创业板,深市,创业板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20091030,6165,16.88,14.7,-0.541,10.39,False,True,True,0,0,0,0,True,
300078.SZ,300078,300078,思创智联,创业板,深市,创业板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100430,5983,16.38,2.67,1.908,21.429,False,True,True,0,0,0,0,True,
300079.SZ,300079,300079,数码视讯,创业板,深市,创业板,801750.SI,计算机,801103.SI,IT服务Ⅱ,IT服务Ⅱ,L,20100430,5983,16.38,4.8,0.0,14.0,False,True,True,0,0,0,0,True,
