ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000007.SZ,000007,000007,全新好,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19920413,12537,34.32,10.38,7.453,37.5,False,True,True,0,0,0,0,True,
000058.SZ,000058,000058,深赛格,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19961226,10819,29.62,6.76,1.349,42.029,False,True,True,0,0,0,0,True,
000061.SZ,000061,000061,农产品,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970110,10804,29.58,5.89,1.727,40.0,False,True,True,0,0,0,0,True,
000417.SZ,000417,000417,合百集团,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19960812,10955,29.99,6.02,1.007,6.897,False,True,True,0,0,0,0,True,
000419.SZ,000419,000419,通程控股,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19960816,10951,29.98,5.02,3.505,22.917,False,True,True,0,0,0,0,True,
000501.SZ,000501,000501,武商集团,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19921120,12316,33.72,7.28,2.535,27.778,False,True,True,0,0,0,0,True,
000564.SZ,000564,000564,供销大集,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19940110,11900,32.58,1.43,1.418,28.571,False,True,True,0,0,0,0,True,
000679.SZ,000679,000679,大连友谊,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970124,10790,29.54,6.08,3.051,17.241,False,True,True,0,0,0,0,True,
000715.SZ,000715,000715,中兴商业,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970508,10686,29.26,4.96,3.333,14.583,False,True,True,0,0,0,0,True,
000759.SZ,000759,000759,中百集团,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970519,10675,29.23,6.99,0.721,4.348,False,True,True,0,0,0,0,True,
000785.SZ,000785,000785,居然智家,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970711,10622,29.08,2.28,2.242,27.273,False,True,True,0,0,0,0,True,
000882.SZ,000882,000882,华联股份,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19980616,10282,28.15,1.43,1.418,7.143,False,True,True,0,0,0,0,True,
002187.SZ,002187,002187,广百股份,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20071122,6836,18.72,5.38,2.476,14.0,False,True,True,0,0,0,0,True,
002251.SZ,002251,002251,步步高,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20080619,6626,18.14,3.75,2.459,11.111,False,True,True,0,0,0,0,True,
002277.SZ,002277,002277,友阿股份,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20090717,6233,17.07,5.75,0.524,18.966,False,True,True,0,0,0,0,True,
002344.SZ,002344,002344,海宁皮城,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20100126,6040,16.54,3.88,3.467,23.077,False,True,True,0,0,0,0,True,
002356.SZ,002356,002356,鹏飞绿能,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20100209,6026,16.5,2.76,2.222,30.769,False,True,True,0,0,0,0,True,
002419.SZ,002419,002419,天虹股份,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20100601,5914,16.19,4.61,2.217,26.087,False,True,True,0,0,0,0,True,
002561.SZ,002561,002561,徐家汇,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20110303,5639,15.44,6.78,2.727,7.692,False,True,True,0,0,0,0,True,
002697.SZ,002697,002697,红旗连锁,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20120905,5087,13.93,4.74,3.72,13.333,False,True,True,0,0,0,0,True,
002818.SZ,002818,002818,富森美,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20161109,3561,9.75,10.93,1.864,7.407,False,True,True,0,0,0,0,True,
300947.SZ,300947,300947,德必集团,创业板,深市,创业板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20210210,2007,5.49,14.51,3.348,18.182,False,True,True,0,0,0,0,True,
300972.SZ,300972,300972,万辰集团,创业板,深市,创业板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20210419,1939,5.31,206.4,2.012,16.667,False,True,True,0,0,0,0,True,
600113.SH,600113,600113,浙江东日,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19971021,10520,28.8,31.9,1.334,24.675,False,True,True,0,0,0,0,True,
600280.SH,600280,600280,中央商场,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20000926,9449,25.87,2.98,3.472,15.385,False,True,True,0,0,0,0,True,
600327.SH,600327,600327,大东方,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20020625,8812,24.13,3.94,10.056,17.143,False,True,True,0,0,0,0,True,
600415.SH,600415,600415,小商品城,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,20020509,8859,24.25,12.15,0.33,20.0,False,True,True,0,0,0,0,True,
600605.SH,600605,600605,汇通能源,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19920327,12554,34.37,23.69,0.0,31.343,False,True,True,0,0,0,0,True,
600628.SH,600628,600628,新世界,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19930119,12256,33.56,6.19,2.145,23.333,False,True,True,0,0,0,0,True,
600655.SH,600655,600655,豫园股份,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19920902,12395,33.94,4.66,1.304,34.0,False,True,True,0,0,0,0,True,
600693.SH,600693,600693,东百集团,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19931122,11949,32.71,10.16,5.723,10.417,False,True,True,0,0,0,0,True,
600694.SH,600694,600694,大商股份,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19931122,11949,32.71,14.58,1.04,8.333,False,True,True,0,0,0,0,True,
600697.SH,600697,600697,欧亚集团,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19931206,11935,32.68,10.73,3.372,10.0,False,True,True,0,0,0,0,True,
600712.SH,600712,600712,南宁百货,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19960626,11002,30.12,5.57,1.642,18.182,False,True,True,0,0,0,0,True,
600729.SH,600729,600729,重百集团,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19960702,10996,30.11,20.66,2.582,6.863,False,True,True,0,0,0,0,True,
600738.SH,600738,600738,丽尚国潮,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19960802,10965,30.02,4.03,3.069,10.526,False,True,True,0,0,0,0,True,
600778.SH,600778,600778,友好集团,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19961203,10842,29.68,5.57,3.724,11.765,False,True,True,0,0,0,0,True,
600785.SH,600785,600785,新华百货,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970108,10806,29.59,8.96,2.87,10.714,False,True,True,0,0,0,0,True,
600790.SH,600790,600790,轻纺城,主板,沪市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19970228,10755,29.45,3.35,2.134,26.471,False,True,True,0,0,0,0,True,
