ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000852.SZ,000852,000852,石化机械,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,19981126,10102,27.66,5.06,-3.802,29.412,False,True,True,0,0,0,0,True,
000856.SZ,000856,000856,冀东装备,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,19980813,10207,27.95,6.91,-2.676,12.676,False,True,True,0,0,0,0,True,
001225.SZ,001225,001225,和泰机电,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20230222,1248,3.42,38.08,1.845,14.917,False,True,True,0,0,0,0,True,
001256.SZ,001256,001256,炜冈科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20221205,1327,3.63,22.52,2.784,28.571,False,True,True,0,0,0,0,True,
001288.SZ,001288,001288,运机集团,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20211101,1726,4.73,25.0,-0.675,18.293,False,True,True,0,0,0,0,True,
001332.SZ,001332,001332,锡装股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20220920,1403,3.84,28.8,-0.173,15.714,False,True,True,0,0,0,0,True,
001360.SZ,001360,001360,南矿集团,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20230410,1201,3.29,13.51,-1.674,16.296,False,True,True,0,0,0,0,True,
002006.SZ,002006,002006,精工科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20040625,8064,22.08,12.67,-3.356,28.571,False,True,True,0,0,0,0,True,
002009.SZ,002009,002009,天奇股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20040629,8060,22.07,15.52,-3.362,23.077,False,True,True,0,0,0,0,True,
002021.SZ,002021,002021,中捷资源,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20040715,8044,22.02,2.22,-2.203,12.5,False,True,True,0,0,0,0,True,
002031.SZ,002031,002031,巨轮智能,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20040816,8012,21.94,4.5,-4.459,20.833,False,True,True,0,0,0,0,True,
002073.SZ,002073,002073,软控股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20061018,7219,19.76,5.36,-2.368,25.926,False,True,True,0,0,0,0,True,
002204.SZ,002204,002204,大连重工,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20080116,6764,18.52,5.13,-2.099,28.571,False,True,True,0,0,0,0,True,
002209.SZ,002209,002209,达意隆,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20080130,6750,18.48,9.69,-0.411,14.0,False,True,True,0,0,0,0,True,
002278.SZ,002278,002278,神开股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20090811,6191,16.95,7.46,-3.368,9.459,False,True,True,0,0,0,0,True,
002337.SZ,002337,002337,赛象科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100115,6034,16.52,4.14,-2.358,31.818,False,True,True,0,0,0,0,True,
002353.SZ,002353,002353,杰瑞股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100205,6013,16.46,137.29,1.613,32.967,False,True,True,0,0,0,0,True,
002367.SZ,002367,002367,康力电梯,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100312,5978,16.37,5.06,-2.879,26.23,False,True,True,0,0,0,0,True,
002483.SZ,002483,002483,润邦股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100929,5777,15.82,4.89,-2.783,34.545,False,True,True,0,0,0,0,True,
002490.SZ,002490,002490,山东墨龙,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101021,5755,15.76,7.92,-3.767,10.256,False,True,True,0,0,0,0,True,
002523.SZ,002523,002523,天桥起重,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101210,5705,15.62,3.16,-5.389,25.0,False,True,True,0,0,0,0,True,
002526.SZ,002526,002526,山东矿机,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101217,5698,15.6,2.5,-3.101,15.385,False,True,True,0,0,0,0,True,
002527.SZ,002527,002527,新时达,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101224,5691,15.58,9.98,-0.697,32.203,False,True,True,0,0,0,0,True,
002530.SZ,002530,002530,金财互联,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101231,5684,15.56,6.54,-3.965,8.955,False,True,True,0,0,0,0,True,
002535.SZ,002535,002535,林州重机,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20110111,5673,15.53,2.1,-3.226,13.636,False,True,True,0,0,0,0,True,
002595.SZ,002595,002595,豪迈科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20110628,5505,15.07,49.43,-1.593,32.168,False,True,True,0,0,0,0,True,
002611.SZ,002611,002611,东方精工,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20110830,5442,14.9,14.12,-2.08,19.58,False,True,True,0,0,0,0,True,
002690.SZ,002690,002690,美亚光电,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20120731,5106,13.98,14.71,-1.933,21.622,False,True,True,0,0,0,0,True,
002722.SZ,002722,002722,物产金轮,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20140128,4560,12.48,11.61,-1.61,26.829,False,True,True,0,0,0,0,True,
002730.SZ,002730,002730,电光科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20141009,4306,11.79,21.19,-4.118,31.461,False,True,True,0,0,0,0,True,
002757.SZ,002757,002757,南兴股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20150527,4076,11.16,15.08,-4.01,16.234,False,True,True,0,0,0,0,True,
002774.SZ,002774,002774,快意电梯,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20170324,3409,9.33,17.64,4.441,16.447,False,True,True,0,0,0,0,True,
002779.SZ,002779,002779,中坚科技,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20151209,3880,10.62,55.37,-2.139,28.302,False,True,True,0,0,0,0,True,
002786.SZ,002786,002786,银宝山新,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20151223,3866,10.58,7.0,-3.315,12.821,False,True,True,0,0,0,0,True,
002833.SZ,002833,002833,弘亚数控,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20161228,3495,9.57,16.15,-1.943,17.045,False,True,True,0,0,0,0,True,
002837.SZ,002837,002837,英维克,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20161229,3494,9.57,58.7,-3.944,24.561,False,True,True,0,0,0,0,True,
002890.SZ,002890,002890,弘宇股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20170802,3278,8.97,12.15,-1.139,22.297,False,True,True,0,0,0,0,True,
002960.SZ,002960,002960,青鸟智控,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20190809,2541,6.96,7.39,-3.651,15.116,False,True,True,0,0,0,0,True,
003036.SZ,003036,003036,泰坦股份,主板,深市,主板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20210128,2003,5.48,49.47,-3.96,52.525,False,True,True,0,0,0,0,True,
300004.SZ,300004,300004,南风股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20091030,6111,16.73,7.34,-2.781,21.622,False,True,True,0,0,0,0,True,
300084.SZ,300084,300084,海默科技,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100520,5909,16.18,9.72,-5.263,26.471,False,True,True,0,0,0,0,True,
300092.SZ,300092,300092,科新机电,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100708,5860,16.04,10.44,-1.695,11.111,False,True,True,0,0,0,0,True,
300095.SZ,300095,300095,华伍股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100728,5840,15.99,7.47,-1.84,21.053,False,True,True,0,0,0,0,True,
300099.SZ,300099,300099,尤洛卡,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100806,5831,15.96,5.55,-2.632,31.148,False,True,True,0,0,0,0,True,
300103.SZ,300103,300103,达刚控股,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20100812,5825,15.95,6.37,-0.779,26.316,False,True,True,0,0,0,0,True,
300151.SZ,300151,300151,昌红科技,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20101222,5693,15.59,14.15,-1.599,63.415,False,True,True,0,0,0,0,True,
300195.SZ,300195,300195,长荣股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20110329,5596,15.32,4.66,-2.306,14.583,False,True,True,0,0,0,0,True,
300281.SZ,300281,300281,金明精机,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20111229,5321,14.57,5.31,-2.747,32.143,False,True,True,0,0,0,0,True,
300293.SZ,300293,300293,蓝英装备,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20120308,5251,14.38,13.79,-1.43,26.95,False,True,True,0,0,0,0,True,
300307.SZ,300307,300307,慈星股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20120329,5230,14.32,6.07,-2.88,22.857,False,True,True,0,0,0,0,True,
300382.SZ,300382,300382,斯莱克,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20140129,4559,12.48,13.73,0.219,50.0,False,True,True,0,0,0,0,True,
300412.SZ,300412,300412,迦南科技,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20141231,4223,11.56,3.73,-3.117,18.605,False,True,True,0,0,0,0,True,
300415.SZ,300415,300415,伊之密,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20150123,4200,11.5,19.47,-1.865,20.29,False,True,True,0,0,0,0,True,
300471.SZ,300471,300471,厚普股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20150611,4061,11.12,8.64,-3.679,15.217,False,True,True,0,0,0,0,True,
300480.SZ,300480,300480,光力科技,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20150702,4040,11.06,31.66,20.015,50.725,False,True,True,0,0,0,0,True,
300499.SZ,300499,300499,高澜股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160202,3825,10.47,27.01,-2.842,18.571,False,True,True,0,0,0,0,True,
300509.SZ,300509,300509,新美星,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160425,3742,10.25,7.49,-2.601,29.268,False,True,True,0,0,0,0,True,
300512.SZ,300512,300512,中亚股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160526,3711,10.16,6.24,-2.804,42.254,False,True,True,0,0,0,0,True,
300521.SZ,300521,300521,爱司凯,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160705,3671,10.05,20.13,1.615,32.0,False,True,True,0,0,0,0,True,
300540.SZ,300540,300540,蜀道装备,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160823,3622,9.92,30.2,0.667,36.937,False,True,True,0,0,0,0,True,
300549.SZ,300549,300549,优德精密,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20160930,3584,9.81,12.08,-0.165,24.242,False,True,True,0,0,0,0,True,
300669.SZ,300669,300669,沪宁股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20170629,3312,9.07,20.57,-4.415,34.459,False,True,True,0,0,0,0,True,
300756.SZ,300756,300756,金马游乐,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20181228,2765,7.57,24.13,-3.248,30.0,False,True,True,0,0,0,0,True,
300813.SZ,300813,300813,泰林生物,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200114,2383,6.52,17.08,-3.229,19.512,False,True,True,0,0,0,0,True,
300823.SZ,300823,300823,建科智能,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200319,2318,6.35,12.67,-1.63,20.567,False,True,True,0,0,0,0,True,
300833.SZ,300833,300833,浩洋股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200520,2256,6.18,32.1,0.627,14.706,False,True,True,0,0,0,0,True,
300836.SZ,300836,300836,佰奥智能,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200528,2248,6.15,57.5,-2.36,24.468,False,True,True,0,0,0,0,True,
300837.SZ,300837,300837,浙矿股份,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200605,2240,6.13,19.9,-3.021,43.59,False,True,True,0,0,0,0,True,
300865.SZ,300865,300865,大宏立,创业板,深市,创业板,801890.SI,机械设备,801074.SI,专用设备,专用设备,L,20200824,2160,5.91,20.21,-1.75,13.793,False,True,True,0,0,0,0,True,
