ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000020.SZ,000020,000020,深华发A,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19920428,12508,34.25,10.1,3.696,19.608,False,True,True,0,0,0,0,True,
000045.SZ,000045,000045,深纺织A,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19940815,11669,31.95,9.05,3.547,30.189,False,True,True,0,0,0,0,True,
000050.SZ,000050,000050,深天马A,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19950315,11457,31.37,6.27,1.951,43.902,False,True,True,0,0,0,0,True,
000100.SZ,000100,000100,TCL科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20040130,8214,22.49,5.1,1.19,7.843,False,True,True,0,0,0,0,True,
000509.SZ,000509,000509,华塑控股,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19930507,12134,33.22,2.88,4.727,25.0,False,True,True,0,0,0,0,True,
000536.SZ,000536,000536,华映科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19931126,11931,32.67,3.11,4.714,29.412,False,True,True,0,0,0,0,True,
000725.SZ,000725,000725,京东方A,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20010112,9327,25.54,5.97,3.109,29.508,False,True,True,0,0,0,0,True,
000727.SZ,000727,000727,冠捷科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19970520,10660,29.19,2.19,2.336,24.0,False,True,True,0,0,0,0,True,
001308.SZ,001308,001308,康冠科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20220318,1592,4.36,16.95,1.924,16.505,False,True,True,0,0,0,0,True,
001373.SZ,001373,001373,翔腾新材,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20230601,1152,3.15,24.6,3.101,27.692,False,True,True,0,0,0,0,True,
002106.SZ,002106,002106,莱宝高科,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20070112,7136,19.54,9.66,3.426,48.148,False,True,True,0,0,0,0,True,
002137.SZ,002137,002137,实益达,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20070613,6984,19.12,6.95,3.731,11.594,False,True,True,0,0,0,0,True,
002222.SZ,002222,002222,福晶科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20080319,6704,18.35,57.29,2.322,44.0,False,True,True,0,0,0,0,True,
002273.SZ,002273,002273,水晶光电,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20080919,6520,17.85,27.73,1.389,33.333,False,True,True,0,0,0,0,True,
002387.SZ,002387,002387,维信诺,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20100413,5949,16.29,6.24,1.629,24.39,False,True,True,0,0,0,0,True,
002449.SZ,002449,002449,国星光电,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20100716,5855,16.03,6.05,2.542,16.129,False,True,True,0,0,0,0,True,
002456.SZ,002456,002456,欧菲光,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20100803,5837,15.98,6.84,2.549,20.0,False,True,True,0,0,0,0,True,
002587.SZ,002587,002587,奥拓电子,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20110610,5526,15.13,5.15,2.386,33.333,False,True,True,0,0,0,0,True,
002654.SZ,002654,002654,万润科技,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20120217,5274,14.44,11.92,5.674,37.288,False,True,True,0,0,0,0,True,
002745.SZ,002745,002745,木林森,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,20150217,4178,11.44,10.97,3.981,14.545,False,True,True,0,0,0,0,True,
