ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000062.SZ,000062,000062,深圳华强,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,19970130,10753,29.44,31.51,-1.96,7.812,False,True,True,0,0,0,0,True,
000670.SZ,000670,000670,盈方微,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,19961217,10797,29.56,7.11,1.427,17.143,False,True,True,0,0,0,0,True,
001287.SZ,001287,001287,中电港,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20230410,1187,3.25,31.03,0.878,6.711,False,True,True,0,0,0,0,True,
001298.SZ,001298,001298,好上好,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20221031,1348,3.69,21.42,2.833,12.136,False,True,True,0,0,0,0,True,
002130.SZ,002130,002130,沃尔核材,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20070420,7021,19.22,17.62,2.74,11.364,False,True,True,0,0,0,0,True,
002161.SZ,002161,002161,远望谷,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20070821,6898,18.89,5.28,1.538,20.69,False,True,True,0,0,0,0,True,
002388.SZ,002388,002388,新亚制程,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20100413,5932,16.24,4.49,0.447,20.408,False,True,True,0,0,0,0,True,
002782.SZ,002782,002782,可立克,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20151222,3853,10.55,17.4,-1.972,28.319,False,True,True,0,0,0,0,True,
002859.SZ,002859,002859,洁美科技,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20170407,3381,9.26,78.4,-5.36,28.313,False,True,True,0,0,0,11,True,
002885.SZ,002885,002885,京泉华,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20170627,3300,9.03,34.07,-3.839,20.253,False,True,True,0,0,0,0,True,
002922.SZ,002922,002922,伊戈尔,主板,深市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20171229,3115,8.53,28.72,-0.554,18.987,False,True,True,0,0,0,0,True,
300131.SZ,300131,300131,英唐智控,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20101019,5743,15.72,18.9,-9.265,9.474,False,True,True,0,0,0,0,True,
300184.SZ,300184,300184,力源信息,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20110222,5617,15.38,16.83,8.023,12.5,False,True,True,0,0,0,0,True,
300475.SZ,300475,300475,香农芯创,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20150610,4048,11.08,271.0,1.127,19.728,False,True,True,0,0,0,0,True,
300493.SZ,300493,300493,润欣科技,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20151210,3865,10.58,13.81,0.145,9.859,False,True,True,0,0,0,0,True,
300516.SZ,300516,300516,久之洋,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20160602,3690,10.1,33.41,3.951,17.778,False,True,True,0,0,0,0,True,
300650.SZ,300650,300650,太龙股份,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20170503,3355,9.19,12.76,-2.595,11.679,False,True,True,0,0,0,0,True,
300656.SZ,300656,300656,民德电子,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20170519,3339,9.14,33.38,-6.499,14.444,False,True,True,0,0,0,0,True,
300736.SZ,300736,300736,百邦科技,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20180109,3104,8.5,30.27,-3.229,21.053,False,True,True,0,0,0,3,True,
300991.SZ,300991,300991,创益通,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20210520,1877,5.14,31.55,2.802,25.731,False,True,True,0,0,0,0,True,
301031.SZ,301031,301031,中熔电气,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20210715,1821,4.99,106.25,-3.021,13.415,False,True,True,0,0,0,0,True,
301099.SZ,301099,301099,雅创电子,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20211122,1691,4.63,95.6,2.973,11.111,False,True,True,0,0,0,0,True,
301328.SZ,301328,301328,维峰电子,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20220908,1401,3.84,70.53,1.046,20.968,False,True,True,0,0,0,0,True,
301359.SZ,301359,301359,东南电子,创业板,深市,创业板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20221109,1339,3.67,15.54,1.502,10.127,False,True,True,0,0,0,0,True,
600353.SH,600353,600353,旭光电子,主板,沪市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20021120,8633,23.64,42.2,3.229,18.391,False,True,True,0,0,0,0,True,
603933.SH,603933,603933,睿能科技,主板,沪市,主板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20170706,3291,9.01,22.46,-3.19,13.793,False,True,True,0,0,0,11,True,
688093.SH,688093,688093,世华科技,科创板,沪市,科创板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20200930,2109,5.77,30.59,-0.682,20.482,False,True,True,0,0,0,0,True,
688103.SH,688103,688103,国力电子,科创板,沪市,科创板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20210910,1764,4.83,103.0,2.01,25.828,False,True,True,0,0,0,0,True,
688662.SH,688662,688662,富信科技,科创板,沪市,科创板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20210401,1926,5.27,108.56,-5.6,37.895,False,True,True,0,0,0,0,True,
688800.SH,688800,688800,瑞可达,科创板,沪市,科创板,801080.SI,电子,801082.SI,其他电子Ⅱ,其他电子Ⅱ,L,20210722,1814,4.97,79.16,-3.144,19.118,False,True,True,0,0,0,0,True,
