ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000048.SZ,000048,000048,京基智农,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,19941101,11570,31.68,21.65,1.93,18.095,False,True,True,0,0,0,0,True,
000735.SZ,000735,000735,罗牛山,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,19970611,10617,29.07,5.12,1.587,11.765,False,True,True,0,0,0,0,True,
000876.SZ,000876,000876,新希望,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,19980311,10344,28.32,7.29,7.522,33.333,False,True,True,0,0,0,0,True,
001201.SZ,001201,001201,东瑞股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20210428,1895,5.19,11.7,2.273,18.519,False,True,True,0,0,0,0,True,
002124.SZ,002124,002124,天邦食品,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20070403,7034,19.26,2.42,6.608,17.391,False,True,True,0,0,0,0,True,
002157.SZ,002157,002157,正邦科技,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20070817,6898,18.89,3.02,4.498,20.0,False,True,True,0,0,0,0,True,
002234.SZ,002234,002234,民和股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20080516,6625,18.14,7.28,2.68,20.0,False,True,True,0,0,0,0,True,
002299.SZ,002299,002299,圣农发展,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20091021,6102,16.71,16.72,2.388,15.789,False,True,True,0,0,0,0,True,
002321.SZ,002321,002321,华英农业,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20091216,6046,16.55,1.82,1.111,31.579,False,True,True,0,0,0,0,True,
002458.SZ,002458,002458,益生股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20100810,5809,15.9,9.45,4.305,15.73,False,True,True,0,0,0,0,True,
002714.SZ,002714,002714,牧原股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20140128,4542,12.44,38.68,4.824,28.261,False,True,True,0,0,0,0,True,
002746.SZ,002746,002746,仙坛股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20150216,4158,11.38,5.5,1.103,18.182,False,True,True,0,0,0,0,True,
002982.SZ,002982,002982,湘佳股份,主板,深市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20200424,2264,6.2,12.27,1.741,12.389,False,True,True,0,0,0,0,True,
300498.SZ,300498,300498,温氏股份,创业板,深市,创业板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20151102,3899,10.67,13.73,5.13,31.081,False,True,True,0,0,0,0,True,
300761.SZ,300761,300761,立华股份,创业板,深市,创业板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20190218,2695,7.38,18.65,4.016,25.0,False,True,True,0,0,0,0,True,
300967.SZ,300967,300967,晓鸣股份,创业板,深市,创业板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20210413,1910,5.23,16.26,2.007,11.842,False,True,True,0,0,0,0,True,
301116.SZ,301116,301116,益客食品,创业板,深市,创业板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20220118,1630,4.46,9.27,2.772,12.222,False,True,True,0,0,0,0,True,
600975.SH,600975,600975,新五丰,主板,沪市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20040609,8062,22.07,4.98,3.534,22.642,False,True,True,0,0,0,0,True,
603477.SH,603477,603477,巨星农牧,主板,沪市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20171218,3122,8.55,16.73,9.993,26.667,False,True,True,0,0,0,0,True,
603717.SH,603717,603717,天域生物,主板,沪市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20170327,3388,9.28,6.93,-5.457,16.923,False,True,True,0,0,0,0,True,
605296.SH,605296,605296,神农集团,主板,沪市,主板,801010.SI,农林牧渔,801017.SI,养殖业,养殖业,L,20210528,1865,5.11,30.16,3.643,13.793,False,True,True,0,0,0,0,True,
