ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
002807.SZ,002807,002807,江阴银行,主板,深市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20160902,3666,10.04,4.19,-0.946,7.5,False,True,True,0,0,0,0,True,
002839.SZ,002839,002839,张家港行,主板,深市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20170124,3522,9.64,4.33,-1.142,6.977,False,True,True,0,0,0,0,True,
002958.SZ,002958,002958,青农商行,主板,深市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20190326,2731,7.48,2.97,-0.336,6.897,False,True,True,0,0,0,0,True,
600908.SH,600908,600908,无锡银行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20160923,3645,9.98,5.84,-0.341,10.909,False,True,True,0,0,0,0,True,
601077.SH,601077,601077,渝农商行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20191029,2514,6.88,6.58,-1.349,9.091,False,True,True,0,0,0,0,True,
601128.SH,601128,601128,常熟银行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20160930,3638,9.96,6.35,-0.626,4.762,False,True,True,0,0,0,0,True,
601528.SH,601528,601528,瑞丰银行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20210625,1909,5.23,5.08,0.395,10.204,False,True,True,0,0,0,0,True,
601825.SH,601825,601825,沪农商行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20210819,1854,5.08,8.72,-1.022,19.048,False,True,True,0,0,0,0,True,
601860.SH,601860,601860,紫金银行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20190103,2813,7.7,2.58,-0.386,3.846,False,True,True,0,0,0,0,True,
603323.SH,603323,603323,苏农银行,主板,沪市,主板,801780.SI,银行,801785.SI,农商行Ⅱ,农商行Ⅱ,L,20161129,3578,9.8,4.46,-0.889,6.977,False,True,True,0,0,0,0,True,
