ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000719.SZ,000719,000719,中原传媒,主板,深市,主板,801760.SI,传媒,801769.SI,出版,出版,L,19970331,10703,29.3,12.09,0.75,15.702,False,True,True,0,0,0,0,True,
002181.SZ,002181,002181,粤传媒,主板,深市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20071116,6821,18.67,7.61,-3.304,31.868,False,True,True,0,0,0,0,True,
300148.SZ,300148,300148,天舟文化,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20101215,5696,15.59,3.16,-0.316,12.5,False,True,True,0,0,0,0,True,
300364.SZ,300364,300364,中文在线,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20150121,4198,11.49,21.34,-0.513,14.474,False,True,True,0,0,0,0,True,
300654.SZ,300654,300654,世纪天鸿,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20170926,3219,8.81,10.61,-3.017,15.385,False,True,True,0,0,0,0,True,
300788.SZ,300788,300788,中信出版,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20190705,2572,7.04,24.19,1.298,42.169,False,True,True,0,0,0,0,True,
301025.SZ,301025,301025,读客文化,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20210719,1827,5.0,7.9,-2.107,8.642,False,True,True,0,0,0,0,True,
301052.SZ,301052,301052,果麦文化,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20210830,1785,4.89,21.26,-2.745,9.091,False,True,True,0,0,0,0,True,
301231.SZ,301231,301231,荣信文化,创业板,深市,创业板,801760.SI,传媒,801769.SI,出版,出版,L,20220908,1411,3.86,22.49,-4.945,10.7,False,True,True,0,0,0,0,True,
600229.SH,600229,600229,城市传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20000309,9629,26.36,4.81,-0.62,28.571,False,True,True,0,0,0,0,True,
600373.SH,600373,600373,中文传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20020304,8904,24.38,7.29,0.97,30.769,False,True,True,0,0,0,0,True,
600551.SH,600551,600551,时代出版,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20020905,8719,23.87,6.8,0.741,21.795,False,True,True,0,0,0,0,True,
600757.SH,600757,600757,长江传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,19961003,10882,29.79,7.84,1.951,15.0,False,True,True,0,0,0,0,True,
600825.SH,600825,600825,新华传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,19940204,11854,32.45,4.75,-2.863,28.0,False,True,True,0,0,0,0,True,
601019.SH,601019,601019,山东出版,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20171122,3162,8.66,7.4,1.37,27.632,False,True,True,0,0,0,0,True,
601098.SH,601098,601098,中南传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20101028,5744,15.73,10.27,1.683,16.981,False,True,True,0,0,0,0,True,
601801.SH,601801,601801,皖新传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20100118,6027,16.5,5.36,2.29,27.586,False,True,True,0,0,0,0,True,
601811.SH,601811,601811,新华文轩,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20160808,3633,9.95,12.33,0.489,20.896,False,True,True,0,0,0,0,True,
601858.SH,601858,601858,中国科传,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20170118,3470,9.5,17.27,1.35,40.385,False,True,True,0,0,0,0,True,
601900.SH,601900,601900,南方传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20160215,3808,10.43,12.13,1.933,25.806,False,True,True,0,0,0,0,True,
601921.SH,601921,601921,浙版传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20210723,1823,4.99,7.08,0.283,13.158,False,True,True,0,0,0,0,True,
601928.SH,601928,601928,凤凰传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20111130,5346,14.64,9.64,2.336,13.131,False,True,True,0,0,0,0,True,
601949.SH,601949,601949,中国出版,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20170821,3255,8.91,5.19,2.569,38.333,False,True,True,0,0,0,0,True,
601999.SH,601999,601999,出版传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20071221,6786,18.58,5.79,-1.531,34.426,False,True,True,0,0,0,0,True,
603096.SH,603096,603096,新经典,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20170425,3373,9.23,13.67,-1.937,23.077,False,True,True,0,0,0,0,True,
603230.SH,603230,603230,内蒙新华,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20211224,1669,4.57,8.88,-0.56,35.417,False,True,True,0,0,0,0,True,
603999.SH,603999,603999,读者传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20151210,3875,10.61,5.26,0.0,33.333,False,True,True,0,0,0,0,True,
605577.SH,605577,605577,龙版传媒,主板,沪市,主板,801760.SI,传媒,801769.SI,出版,出版,L,20210824,1791,4.9,9.4,-0.212,16.129,False,True,True,0,0,0,0,True,
