ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000659.SZ,000659,000659,珠海中富,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,19961203,10871,29.76,3.03,1.338,14.286,False,True,True,0,0,0,0,True,
000812.SZ,000812,000812,陕西金叶,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,19980623,10304,28.21,3.87,-0.258,13.889,False,True,True,0,0,0,0,True,
002014.SZ,002014,002014,永新股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20040708,8097,22.17,11.34,-1.477,10.0,False,True,True,0,0,0,0,True,
002117.SZ,002117,002117,东港股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20070302,7130,19.52,8.27,0.731,17.073,False,True,True,0,0,0,0,True,
002191.SZ,002191,002191,劲嘉股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20071205,6852,18.76,3.67,1.102,10.526,False,True,True,0,0,0,0,True,
002228.SZ,002228,002228,合兴包装,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20080508,6697,18.34,3.29,1.543,6.452,False,True,True,0,0,0,0,True,
002229.SZ,002229,002229,鸿博股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20080508,6697,18.34,12.16,-1.698,3.306,False,True,True,0,0,0,0,True,
002303.SZ,002303,002303,美盈森,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20091103,6153,16.85,5.57,6.095,13.208,False,True,True,0,0,0,0,True,
002374.SZ,002374,002374,中锐股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20100318,6018,16.48,3.18,1.274,9.677,False,True,True,0,0,0,0,True,
002565.SZ,002565,002565,顺灏股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20110318,5653,15.48,8.67,1.285,13.953,False,True,True,0,0,0,0,True,
002599.SZ,002599,002599,盛通股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20110715,5534,15.15,5.95,1.884,8.475,False,True,True,0,0,0,0,True,
002701.SZ,002701,002701,奥瑞金,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20121011,5080,13.91,4.57,0.661,12.766,False,True,True,0,0,0,0,True,
002735.SZ,002735,002735,王子新材,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20141203,4297,11.76,11.88,-0.502,5.882,False,True,True,0,0,0,0,True,
002752.SZ,002752,002752,昇兴股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20150422,4157,11.38,6.38,2.408,8.333,False,True,True,0,0,0,0,True,
002787.SZ,002787,002787,华源控股,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20151231,3904,10.69,24.23,2.323,11.207,False,True,True,0,0,0,0,True,
002799.SZ,002799,002799,环球印务,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20160608,3744,10.25,7.08,1.724,14.925,False,True,True,0,0,0,0,True,
002831.SZ,002831,002831,裕同科技,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20161216,3553,9.73,28.18,1.331,16.176,False,True,True,0,0,0,0,True,
002836.SZ,002836,002836,新宏泽,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20161229,3540,9.69,10.42,1.56,26.0,False,True,True,0,0,0,0,True,
002846.SZ,002846,002846,英联股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20170207,3500,9.58,10.91,-0.998,8.411,False,True,True,0,0,0,0,True,
002969.SZ,002969,002969,嘉美包装,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20191202,2472,6.77,12.82,1.424,12.308,False,True,True,0,0,0,5,True,
003003.SZ,003003,003003,天元股份,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20200921,2178,5.96,11.36,0.888,13.636,False,True,True,0,0,0,0,True,
003018.SZ,003018,003018,金富科技,主板,深市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20201106,2132,5.84,52.37,-4.799,22.667,False,True,True,0,0,0,0,True,
300501.SZ,300501,300501,海顺新材,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20160204,3869,10.59,9.91,-0.701,24.752,False,True,True,0,0,0,0,True,
300883.SZ,300883,300883,龙利得,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20200910,2189,5.99,6.71,-0.297,12.121,False,True,True,0,0,0,0,True,
301062.SZ,301062,301062,上海艾录,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20210914,1820,4.98,7.34,-1.476,16.901,False,True,True,0,0,0,0,True,
301198.SZ,301198,301198,喜悦智行,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20211202,1741,4.77,13.58,2.801,22.835,False,True,True,0,0,0,0,True,
301223.SZ,301223,301223,中荣股份,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20221026,1413,3.87,17.64,0.0,18.935,False,True,True,0,0,0,0,True,
301296.SZ,301296,301296,新巨丰,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20220902,1467,4.02,6.62,1.534,11.111,False,True,True,0,0,0,0,True,
301355.SZ,301355,301355,南王科技,创业板,深市,创业板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20230612,1184,3.24,11.18,6.679,13.861,False,True,True,0,0,0,0,True,
600076.SH,600076,600076,康欣新材,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,19970526,10697,29.29,2.71,-4.912,19.355,False,True,True,0,0,0,0,True,
600210.SH,600210,600210,紫江企业,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,19990824,9877,27.04,6.29,2.276,8.065,False,True,True,0,0,0,0,True,
601515.SH,601515,601515,衢州东峰,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20120216,5318,14.56,3.36,1.511,38.235,False,True,True,0,0,0,0,True,
601968.SH,601968,601968,宝钢包装,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20150611,4107,11.24,4.72,1.944,24.444,False,True,True,0,0,0,0,True,
603022.SH,603022,603022,新通联,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20150518,4131,11.31,9.34,1.854,20.93,False,True,True,0,0,0,0,True,
603058.SH,603058,603058,永吉股份,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20161223,3546,9.71,9.64,-1.331,10.204,False,True,True,0,0,0,0,True,
603499.SH,603499,603499,翔港科技,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20171016,3249,8.9,14.23,0.851,25.0,False,True,True,0,0,0,0,True,
603607.SH,603607,603607,京华激光,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20171025,3240,8.87,22.95,1.639,8.219,False,True,True,0,0,0,0,True,
603687.SH,603687,603687,大胜达,主板,沪市,主板,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20190726,2601,7.12,15.92,-2.391,19.497,False,True,True,0,0,0,0,True,
920075.BJ,920075,920075,柏星龙,北交所,北交所,北交所,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20221214,1364,3.73,19.01,-5.187,23.737,False,True,True,0,0,0,0,True,
920163.BJ,920163,920163,方大新材,北交所,北交所,北交所,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20200727,2234,6.12,11.1,2.022,10.909,False,True,True,0,0,0,0,True,
920204.BJ,920204,920204,沪江材料,北交所,北交所,北交所,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20220118,1694,4.64,13.68,-0.073,14.844,False,True,True,0,0,0,0,True,
920274.BJ,920274,920274,宏裕包材,北交所,北交所,北交所,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20230818,1117,3.06,17.75,3.138,17.857,False,True,True,0,0,0,0,True,
920392.BJ,920392,920392,佳合科技,北交所,北交所,北交所,801140.SI,轻工制造,801141.SI,包装印刷,包装印刷,L,20221230,1348,3.69,14.55,-1.222,11.429,False,True,True,0,0,0,0,True,
