ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
002094.SZ,002094,002094,青岛金王,主板,深市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20061215,7144,19.56,4.32,-3.356,6.818,False,True,True,0,0,0,0,True,
300132.SZ,300132,300132,青松股份,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20101026,5733,15.7,5.76,-4.319,38.71,False,True,True,0,0,0,0,True,
300740.SZ,300740,300740,水羊股份,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20180208,3071,8.41,20.37,-1.356,22.018,False,True,True,0,0,0,0,True,
300849.SZ,300849,300849,锦盛新材,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20200710,2188,5.99,24.19,-1.627,12.931,False,True,True,0,0,0,0,True,
300856.SZ,300856,300856,科思股份,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20200722,2176,5.96,10.62,-3.978,24.59,False,True,True,0,0,0,0,True,
300886.SZ,300886,300886,华业香料,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20200916,2120,5.8,20.48,-2.383,19.34,False,True,True,0,0,0,0,True,
300955.SZ,300955,300955,嘉亨家化,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20210324,1931,5.29,35.1,-3.73,18.812,False,True,True,0,0,0,0,True,
300957.SZ,300957,300957,贝泰妮,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20210325,1930,5.28,31.29,-2.066,23.077,False,True,True,0,0,0,0,True,
301371.SZ,301371,301371,敷尔佳,创业板,深市,创业板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20230801,1071,2.93,25.6,-5.778,11.765,False,True,True,0,0,0,0,True,
600223.SH,600223,600223,福瑞达,主板,沪市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20000113,9672,26.48,5.32,-1.664,34.848,False,True,True,0,0,0,0,True,
600315.SH,600315,600315,上海家化,主板,沪市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20010315,9245,25.31,17.76,-0.616,22.0,False,True,True,0,0,0,0,True,
603605.SH,603605,603605,珀莱雅,主板,沪市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20171115,3156,8.64,57.9,-1.631,17.949,False,True,True,0,0,0,0,True,
603630.SH,603630,603630,拉芳家化,主板,沪市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20170313,3403,9.32,13.83,-1.355,21.739,False,True,True,0,0,0,0,True,
603983.SH,603983,603983,丸美生物,主板,沪市,主板,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20190725,2539,6.95,30.95,-0.546,36.957,False,True,True,0,0,0,0,True,
920123.BJ,920123,920123,芭薇股份,北交所,北交所,北交所,801980.SI,美容护理,801982.SI,化妆品,化妆品,L,20240329,830,2.27,9.79,-2.1,15.686,False,True,True,0,0,0,0,True,
