ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000565.SZ,000565,000565,渝三峡A,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,19940408,11848,32.44,6.59,-4.906,16.176,False,True,True,0,0,0,0,True,
000881.SZ,000881,000881,中广核技,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,19980902,10240,28.04,6.44,-2.866,21.212,False,True,True,0,0,0,0,True,
001218.SZ,001218,001218,丽臣实业,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20211015,1796,4.92,23.07,0.087,11.25,False,True,True,0,0,0,0,True,
001358.SZ,001358,001358,兴欣新材,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20231221,999,2.74,23.09,-0.13,10.714,False,True,True,0,0,0,0,True,
002001.SZ,002001,002001,新和成,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20040625,8117,22.22,26.75,-0.631,15.068,False,True,True,0,0,0,0,True,
002037.SZ,002037,002037,保利联合,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20040908,8042,22.02,6.58,-3.801,14.493,False,True,True,0,0,0,0,True,
002054.SZ,002054,002054,德美化工,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20060725,7357,20.14,6.92,-2.535,6.944,False,True,True,0,0,0,0,True,
002096.SZ,002096,002096,易普力,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20061222,7207,19.73,9.1,-0.438,41.667,False,True,True,0,0,0,0,True,
002165.SZ,002165,002165,红宝丽,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20070913,6942,19.01,6.97,-3.194,12.821,False,True,True,0,0,0,0,True,
002166.SZ,002166,002166,莱茵生物,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20070913,6942,19.01,6.49,-4.418,10.294,False,True,True,0,0,0,0,True,
002226.SZ,002226,002226,江南化工,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20080506,6706,18.36,5.0,-1.186,23.529,False,True,True,0,0,0,0,True,
002246.SZ,002246,002246,北化股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20080605,6676,18.28,22.41,-2.097,14.151,False,True,True,0,0,0,0,True,
002319.SZ,002319,002319,乐通股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20091211,6122,16.76,9.92,-3.502,8.333,False,True,True,0,0,0,0,True,
002326.SZ,002326,002326,永太科技,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20091222,6111,16.73,17.02,-0.468,17.021,False,True,True,0,0,0,0,True,
002407.SZ,002407,002407,多氟多,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20100518,5964,16.33,32.24,1.256,10.778,False,True,True,0,0,0,0,True,
002430.SZ,002430,002430,杭氧股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20100610,5941,16.27,25.64,1.625,15.385,False,True,True,0,0,0,0,True,
002440.SZ,002440,002440,闰土股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20100706,5915,16.19,11.76,-2.488,14.961,False,True,True,0,0,0,0,True,
002453.SZ,002453,002453,华软科技,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20100720,5901,16.16,4.31,-3.363,13.636,False,True,True,0,0,0,0,True,
002455.SZ,002455,002455,百川股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20100803,5887,16.12,6.94,-2.391,10.39,False,True,True,0,0,0,0,True,
002497.SZ,002497,002497,雅化集团,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20101109,5789,15.85,16.3,-3.207,11.475,False,True,True,0,0,0,0,True,
002549.SZ,002549,002549,凯美特气,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20110218,5688,15.57,13.29,1.839,10.072,False,True,True,0,0,0,0,True,
002562.SZ,002562,002562,兄弟科技,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20110310,5668,15.52,4.78,-2.648,6.122,False,True,True,0,0,0,0,True,
002591.SZ,002591,002591,恒大高新,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20110621,5565,15.24,6.13,-4.219,6.25,False,True,True,0,0,0,0,True,
002597.SZ,002597,002597,金禾实业,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20110707,5549,15.19,21.72,0.463,14.286,False,True,True,0,0,0,0,True,
002637.SZ,002637,002637,赞宇科技,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20111125,5408,14.81,11.04,-4.25,17.073,False,True,True,0,0,0,0,True,
002666.SZ,002666,002666,德联集团,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20120327,5285,14.47,4.06,-2.638,7.143,False,True,True,0,0,0,0,True,
002669.SZ,002669,002669,康达新材,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20120416,5265,14.41,14.37,4.509,18.939,False,True,True,0,0,0,0,True,
002683.SZ,002683,002683,广东宏大,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20120612,5208,14.26,27.75,-2.529,12.245,False,True,True,0,0,0,0,True,
002783.SZ,002783,002783,凯龙股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20151209,3933,10.77,7.66,-2.668,10.127,False,True,True,0,0,0,0,True,
002802.SZ,002802,002802,洪汇新材,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20160629,3730,10.21,11.7,-2.905,17.647,False,True,True,0,0,0,0,True,
002809.SZ,002809,002809,红墙股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20160823,3675,10.06,8.06,-4.162,8.046,False,True,True,0,0,0,0,True,
002810.SZ,002810,002810,山东赫达,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20160826,3672,10.05,20.84,-1.139,14.286,False,True,True,0,0,0,0,True,
002827.SZ,002827,002827,高争民爆,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20161209,3567,9.77,64.36,4.906,14.815,False,True,True,0,0,0,0,True,
002909.SZ,002909,002909,集泰股份,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20171026,3246,8.89,6.33,-6.083,10.769,False,True,True,0,0,0,0,True,
002915.SZ,002915,002915,中欣氟材,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20171205,3206,8.78,16.93,-0.412,9.89,False,True,True,0,0,0,0,True,
002917.SZ,002917,002917,金奥博,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20171208,3203,8.77,9.89,-2.944,7.692,False,True,True,0,0,0,0,True,
002971.SZ,002971,002971,和远气体,主板,深市,主板,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20200113,2437,6.67,38.66,2.71,12.987,False,True,True,0,0,0,0,True,
