ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000028.SZ,000028,000028,国药一致,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19930809,12068,33.04,19.59,0.616,14.286,False,True,True,0,0,0,0,True,
000411.SZ,000411,000411,英特集团,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19960716,10996,30.11,9.58,-0.931,21.875,False,True,True,0,0,0,0,True,
000705.SZ,000705,000705,浙江震元,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19970410,10728,29.37,6.93,-1.562,13.235,False,True,True,0,0,0,0,True,
000950.SZ,000950,000950,重药控股,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19990916,9839,26.94,5.41,-1.277,12.5,False,True,True,0,0,0,0,True,
002462.SZ,002462,002462,嘉事堂,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20100818,5850,16.02,11.96,-1.157,11.966,False,True,True,0,0,0,0,True,
002589.SZ,002589,002589,瑞康医药,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20110610,5554,15.21,3.02,-5.031,17.647,False,True,True,0,0,0,0,True,
002727.SZ,002727,002727,一心堂,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20140702,4436,12.15,11.43,-1.55,10.256,False,True,True,0,0,0,0,True,
002788.SZ,002788,002788,鹭燕医药,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20160218,3840,10.51,10.56,-3.297,10.526,False,True,True,0,0,0,0,True,
300937.SZ,300937,300937,药易购,创业板,深市,创业板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20210127,2035,5.57,25.16,-3.675,15.412,False,True,True,0,0,0,0,True,
301015.SZ,301015,301015,百洋医药,创业板,深市,创业板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20210630,1881,5.15,24.87,-3.828,18.75,False,True,True,0,0,0,0,True,
301017.SZ,301017,301017,漱玉平民,创业板,深市,创业板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20210705,1876,5.14,12.76,-3.333,8.824,False,True,True,0,0,0,0,True,
301126.SZ,301126,301126,达嘉维康,创业板,深市,创业板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20211207,1721,4.71,10.0,-1.672,17.347,False,True,True,0,0,0,0,True,
301408.SZ,301408,301408,华人健康,创业板,深市,创业板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20230301,1272,3.48,14.89,-3.873,8.537,False,True,True,0,0,0,0,True,
600056.SH,600056,600056,中国医药,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19970515,10693,29.28,9.17,-0.326,12.903,False,True,True,0,0,0,0,True,
600272.SH,600272,600272,开开实业,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20010228,9308,25.48,18.15,10.0,16.185,False,True,True,0,0,0,0,True,
600511.SH,600511,600511,国药股份,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20021127,8671,23.74,26.26,-0.53,6.667,False,True,True,0,0,0,0,True,
600538.SH,600538,600538,国发股份,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20030114,8623,23.61,5.13,-1.536,15.686,False,True,True,0,0,0,0,True,
600713.SH,600713,600713,南京医药,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19960701,11011,30.15,5.16,-0.769,9.615,False,True,True,0,0,0,0,True,
600829.SH,600829,600829,人民同泰,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19940224,11869,32.5,9.22,-4.158,22.642,False,True,True,0,0,0,0,True,
600833.SH,600833,600833,第一医药,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19940224,11869,32.5,10.46,-1.134,13.043,False,True,True,0,0,0,0,True,
600998.SH,600998,600998,九州通,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20101102,5774,15.81,4.92,0.204,8.0,False,True,True,0,0,0,0,True,
601607.SH,601607,601607,上海医药,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19940324,11841,32.42,16.19,0.0,10.909,False,True,True,0,0,0,0,True,
603108.SH,603108,603108,润达医疗,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20150527,4107,11.24,9.55,-3.242,13.725,False,True,True,0,0,0,0,True,
603122.SH,603122,603122,合富中国,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20220216,1650,4.52,11.38,-3.966,7.258,False,True,True,0,0,0,0,True,
603233.SH,603233,603233,大参林,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20170731,3311,9.07,17.36,-1.699,16.667,False,True,True,0,0,0,0,True,
603368.SH,603368,603368,柳药集团,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20141204,4281,11.72,15.74,-0.882,9.434,False,True,True,0,0,0,0,True,
603716.SH,603716,603716,塞力医疗,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20161031,3584,9.81,15.07,-4.861,12.5,False,True,True,0,0,0,0,True,
603883.SH,603883,603883,老百姓,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20150423,4141,11.34,13.01,-1.439,15.152,False,True,True,0,0,0,0,True,
603939.SH,603939,603939,益丰药房,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20150217,4206,11.52,23.65,-1.17,17.857,False,True,True,0,0,0,0,True,
605266.SH,605266,605266,健之佳,主板,沪市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,20201201,2092,5.73,16.46,-0.423,14.286,False,True,True,0,0,0,0,True,
