ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
001309.SZ,001309,001309,德明利,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20220701,1519,4.16,429.03,-0.17,10.417,False,True,True,0,0,0,0,True,
002049.SZ,002049,002049,紫光国微,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20050606,7753,21.23,62.78,-0.743,10.526,False,True,True,0,0,0,0,True,
002077.SZ,002077,002077,大港股份,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20061116,7225,19.78,12.4,-0.641,8.065,False,True,True,0,0,0,0,True,
002119.SZ,002119,002119,康强电子,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20070302,7119,19.49,23.25,-1.567,7.759,False,True,True,0,0,0,0,True,
002156.SZ,002156,002156,通富微电,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20070816,6952,19.03,63.75,0.031,9.494,False,True,True,0,0,0,0,True,
002185.SZ,002185,002185,华天科技,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20071120,6856,18.77,16.92,-1.513,9.249,False,True,True,0,0,0,0,True,
002213.SZ,002213,002213,大为股份,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20080201,6783,18.57,30.33,-2.445,6.494,False,True,True,0,0,0,0,True,
002371.SZ,002371,002371,北方华创,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20100316,6009,16.45,697.51,-2.854,26.087,False,True,True,0,0,0,0,True,
002409.SZ,002409,002409,雅克科技,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20100525,5939,16.26,142.06,-1.286,12.712,False,True,True,0,0,0,0,True,
003026.SZ,003026,003026,中晶科技,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20201218,2079,5.69,29.24,-1.714,8.219,False,True,True,0,0,0,0,True,
003043.SZ,003043,003043,华亚智能,主板,深市,主板,801080.SI,电子,801081.SI,半导体,半导体,L,20210406,1970,5.39,82.75,3.27,15.323,False,True,True,0,0,0,0,True,
300046.SZ,300046,300046,台基股份,创业板,深市,创业板,801080.SI,电子,801081.SI,半导体,半导体,L,20100120,6064,16.6,24.64,-1.558,10.569,False,True,True,0,0,0,0,True,
300053.SZ,300053,300053,航宇微,创业板,深市,创业板,801080.SI,电子,801081.SI,半导体,半导体,L,20100211,6042,16.54,12.12,0.0,9.836,False,True,True,0,0,0,0,True,
