ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000519.SZ,000519,000519,中兵红箭,主板,深市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,19931008,11994,32.84,15.01,1.694,27.778,False,True,True,0,0,0,0,True,
000576.SZ,000576,000576,甘化科工,主板,深市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,19940907,11660,31.92,7.42,3.343,14.706,False,True,True,0,0,0,0,True,
002519.SZ,002519,002519,银河电子,主板,深市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20101207,5725,15.67,5.72,3.249,15.385,False,True,True,0,0,0,0,True,
300875.SZ,300875,300875,捷强装备,创业板,深市,创业板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20200824,2177,5.96,37.92,9.091,8.772,False,True,True,0,0,0,0,True,
300922.SZ,300922,300922,天秦装备,创业板,深市,创业板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20201225,2054,5.62,17.62,3.83,12.048,False,True,True,0,0,0,0,True,
301357.SZ,301357,301357,北方长龙,创业板,深市,创业板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20230418,1210,3.31,113.23,19.998,14.839,False,True,True,0,0,0,0,True,
600184.SH,600184,600184,光电股份,主板,沪市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20031106,8313,22.76,18.06,-0.987,48.864,False,True,True,0,0,0,0,True,
600435.SH,600435,600435,北方导航,主板,沪市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20030704,8438,23.1,10.88,3.422,38.182,False,True,True,0,0,0,0,True,
600967.SH,600967,600967,内蒙一机,主板,沪市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20040518,8119,22.23,12.2,6.55,31.579,False,True,True,0,0,0,0,True,
601606.SH,601606,601606,长城军工,主板,沪市,主板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20180806,2926,8.01,36.18,10.003,8.434,False,True,True,0,0,0,0,True,
688543.SH,688543,688543,国科军工,科创板,沪市,科创板,801740.SI,国防军工,801743.SI,地面兵装Ⅱ,地面兵装Ⅱ,L,20230621,1146,3.14,41.19,7.349,12.698,False,True,True,0,0,0,0,True,
