ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
001227.SZ,001227,001227,兰州银行,主板,深市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20220117,1659,4.54,2.27,2.715,9.524,False,True,True,0,0,0,0,True,
002142.SZ,002142,002142,宁波银行,主板,深市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20070719,6955,19.04,32.29,1.286,17.333,False,True,True,0,0,0,0,True,
002936.SZ,002936,002936,郑州银行,主板,深市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20180919,2875,7.87,1.87,1.63,11.111,False,True,True,0,0,0,0,True,
002948.SZ,002948,002948,青岛银行,主板,深市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20190116,2756,7.55,5.9,0.855,9.091,False,True,True,0,0,0,0,True,
002966.SZ,002966,002966,苏州银行,主板,深市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20190802,2558,7.0,8.52,0.353,11.25,False,True,True,0,0,0,0,True,
600919.SH,600919,600919,江苏银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20160802,3653,10.0,11.69,-1.183,14.679,False,True,True,0,0,0,0,True,
600926.SH,600926,600926,杭州银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20161027,3567,9.77,16.41,-0.243,11.95,False,True,True,0,0,0,0,True,
600928.SH,600928,600928,西安银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20190301,2712,7.43,3.74,1.907,11.429,False,True,True,0,0,0,0,True,
601009.SH,601009,601009,南京银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20070719,6955,19.04,11.64,0.086,10.0,False,True,True,0,0,0,0,True,
601169.SH,601169,601169,北京银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20070919,6893,18.87,5.23,0.192,8.0,False,True,True,0,0,0,0,True,
601187.SH,601187,601187,厦门银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20201027,2106,5.77,7.86,0.899,9.589,False,True,True,0,0,0,0,True,
601229.SH,601229,601229,上海银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20161116,3547,9.71,9.58,1.376,15.217,False,True,True,0,0,0,0,True,
601577.SH,601577,601577,长沙银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20180926,2868,7.85,9.71,1.889,9.677,False,True,True,0,0,0,0,True,
601665.SH,601665,601665,齐鲁银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20210618,1872,5.13,6.35,-0.314,10.0,False,True,True,0,0,0,0,True,
601838.SH,601838,601838,成都银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20180131,3106,8.5,18.47,-0.162,16.092,False,True,True,0,0,0,0,True,
601963.SH,601963,601963,重庆银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20210205,2005,5.49,11.47,0.438,14.953,False,True,True,0,0,0,0,True,
601997.SH,601997,601997,贵阳银行,主板,沪市,主板,801780.SI,银行,801784.SI,城商行Ⅱ,城商行Ⅱ,L,20160816,3639,9.96,5.88,1.73,7.143,False,True,True,0,0,0,0,True,
