ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000859.SZ,000859,000859,国风新材,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,19981119,10101,27.66,8.1,2.273,27.711,False,True,True,0,0,0,0,True,
000920.SZ,000920,000920,沃顿科技,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,19990616,9892,27.08,14.15,10.031,17.778,False,True,True,0,0,0,0,True,
000973.SZ,000973,000973,佛塑科技,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20000525,9548,26.14,11.97,-3.778,19.118,False,True,True,0,0,0,0,True,
001255.SZ,001255,001255,博菲电气,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20220930,1385,3.79,23.86,1.145,10.714,False,True,True,0,0,0,0,True,
001333.SZ,001333,001333,光华股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20221208,1316,3.6,19.12,0.262,11.111,False,True,True,0,0,0,0,True,
001359.SZ,001359,001359,平安电工,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20240328,840,2.3,106.88,-2.491,8.889,False,True,True,0,0,0,0,True,
001378.SZ,001378,001378,德冠新材,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20231030,990,2.71,19.77,-4.029,8.824,False,True,True,0,0,0,0,True,
002108.SZ,002108,002108,沧州明珠,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20070124,7113,19.47,4.33,0.464,24.444,False,True,True,0,0,0,0,True,
002263.SZ,002263,002263,大东南,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20080728,6562,17.97,2.8,-0.709,21.429,False,True,True,0,0,0,0,True,
002324.SZ,002324,002324,普利特,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20091218,6054,16.57,9.51,-1.655,16.0,False,True,True,0,0,0,0,True,
002361.SZ,002361,002361,神剑股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20100303,5979,16.37,10.3,-3.013,12.037,False,True,True,0,0,0,0,True,
002395.SZ,002395,002395,双象股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20100429,5922,16.21,12.27,0.822,27.692,False,True,True,0,0,0,0,True,
002522.SZ,002522,002522,浙江众成,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20101210,5697,15.6,4.84,-0.616,47.368,False,True,True,0,0,0,0,True,
002585.SZ,002585,002585,双星新材,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110602,5523,15.12,8.8,-4.762,15.625,False,True,True,0,0,0,0,True,
002632.SZ,002632,002632,道明光学,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20111122,5350,14.65,9.63,10.057,9.195,False,True,True,0,0,0,0,True,
002768.SZ,002768,002768,国恩股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20150630,4034,11.04,55.59,-5.78,12.5,False,True,True,0,0,0,0,True,
002825.SZ,002825,002825,纳尔股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20161129,3516,9.63,8.2,0.737,12.195,False,True,True,0,0,0,0,True,
002838.SZ,002838,002838,道恩股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20170106,3478,9.52,31.44,-5.671,14.545,False,True,True,0,0,0,0,True,
002886.SZ,002886,002886,沃特股份,主板,深市,主板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20170627,3306,9.05,19.94,-4.593,31.148,False,True,True,0,0,0,0,True,
300180.SZ,300180,300180,华峰超纤,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110222,5623,15.39,4.01,1.008,15.0,False,True,True,0,0,0,0,True,
300218.SZ,300218,300218,安利股份,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110518,5538,15.16,12.63,-1.328,20.0,False,True,True,0,0,0,0,True,
300221.SZ,300221,300221,银禧科技,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110525,5531,15.14,12.78,-6.098,18.667,False,True,True,0,0,0,0,True,
300230.SZ,300230,300230,永利股份,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110615,5510,15.09,4.16,-0.716,15.909,False,True,True,0,0,0,0,True,
300243.SZ,300243,300243,瑞丰高材,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20110712,5483,15.01,13.92,-4.853,12.0,False,True,True,0,0,0,0,True,
300305.SZ,300305,300305,裕兴股份,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20120329,5222,14.3,5.15,0.0,39.655,False,True,True,0,0,0,0,True,
300478.SZ,300478,300478,杭州高新,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20150610,4054,11.1,31.38,-4.504,16.23,False,True,True,0,0,0,0,True,
300487.SZ,300487,300487,蓝晓科技,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20150702,4032,11.04,71.9,-1.29,19.355,False,True,True,0,0,0,0,True,
300538.SZ,300538,300538,同益股份,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20160826,3611,9.89,12.93,-3.074,24.46,False,True,True,0,0,0,0,True,
300539.SZ,300539,300539,横河精密,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20160830,3607,9.88,19.06,-1.55,21.818,False,True,True,0,0,0,0,True,
300586.SZ,300586,300586,美联新材,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20170104,3480,9.53,9.39,-7.488,38.889,False,True,True,0,0,0,0,True,
300644.SZ,300644,300644,南京聚隆,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20180206,3082,8.44,21.28,-0.746,16.438,False,True,True,0,0,0,0,True,
300717.SZ,300717,300717,华信新材,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20171106,3174,8.69,22.4,-4.964,11.404,False,True,True,0,0,0,0,True,
300806.SZ,300806,300806,斯迪克,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20191125,2425,6.64,72.72,-5.386,36.25,False,True,True,0,0,0,0,True,
300834.SZ,300834,300834,星辉环材,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20220113,1645,4.5,36.29,-3.51,20.961,False,True,True,0,0,0,0,True,
300920.SZ,300920,300920,润阳科技,创业板,深市,创业板,801030.SI,基础化工,801036.SI,塑料,塑料,L,20201225,2029,5.56,36.44,3.171,15.493,False,True,True,0,0,0,0,True,
