ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000404.SZ,000404,000404,长虹华意,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,19960619,11005,30.13,7.67,-1.414,10.39,False,True,True,0,0,0,0,True,
001268.SZ,001268,001268,联合精密,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20220630,1498,4.1,19.5,-0.612,47.619,False,True,True,0,0,0,0,True,
002011.SZ,002011,002011,盾安环境,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20040705,8067,22.09,10.41,-1.327,22.642,False,True,True,0,0,0,0,True,
002050.SZ,002050,002050,三花智控,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20050607,7730,21.16,38.71,-1.776,23.529,False,True,True,0,0,0,0,True,
002290.SZ,002290,002290,禾盛新材,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20090903,6181,16.92,57.2,1.508,59.155,False,True,True,0,0,0,0,True,
002418.SZ,002418,002418,康盛股份,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20100601,5910,16.18,3.75,1.626,17.647,False,True,True,0,0,0,0,True,
002420.SZ,002420,002420,毅昌科技,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20100601,5910,16.18,5.67,0.711,11.111,False,True,True,0,0,0,0,True,
002676.SZ,002676,002676,顺威股份,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20120525,5186,14.2,5.03,-0.198,20.0,False,True,True,0,0,0,0,True,
002860.SZ,002860,002860,星帅尔,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20170412,3403,9.32,16.59,-0.659,17.964,False,True,True,0,0,0,0,True,
003028.SZ,003028,003028,振邦智能,主板,深市,主板,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,家电零部件Ⅱ,L,20201228,2047,5.6,22.73,1.067,26.027,False,True,True,0,0,0,0,True,
