ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
001259.SZ,001259,001259,利仁科技,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20220831,1433,3.92,43.5,5.634,17.742,False,True,True,0,0,0,0,True,
002032.SZ,002032,002032,苏泊尔,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20040817,8021,21.96,42.66,-2.134,18.75,False,True,True,0,0,0,0,True,
002242.SZ,002242,002242,九阳股份,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20080528,6641,18.18,9.23,1.876,28.889,False,True,True,0,0,0,0,True,
002403.SZ,002403,002403,爱仕达,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20100511,5928,16.23,9.24,1.316,22.093,False,True,True,0,0,0,0,True,
002705.SZ,002705,002705,新宝股份,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20140121,4577,12.53,11.85,0.169,33.333,False,True,True,0,0,0,0,True,
002959.SZ,002959,002959,小熊电器,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20190823,2537,6.95,34.65,0.377,35.714,False,True,True,0,0,0,0,True,
003023.SZ,003023,003023,彩虹集团,主板,深市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20201211,2061,5.64,20.69,2.987,18.478,False,True,True,0,0,0,0,True,
300272.SZ,300272,300272,开能健康,创业板,深市,创业板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20111102,5388,14.75,5.64,0.714,9.259,False,True,True,0,0,0,0,True,
300824.SZ,300824,300824,北鼎股份,创业板,深市,创业板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20200619,2236,6.12,7.86,3.15,36.842,False,True,True,0,0,0,0,True,
301187.SZ,301187,301187,欧圣电气,创业板,深市,创业板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20220422,1564,4.28,15.86,2.92,20.0,False,True,True,0,0,0,0,True,
301332.SZ,301332,301332,德尔玛,创业板,深市,创业板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20230518,1173,3.21,8.16,1.115,21.25,False,True,True,0,0,0,0,True,
603215.SH,603215,603215,比依股份,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20220218,1627,4.45,14.34,3.613,35.099,False,True,True,0,0,0,0,True,
603219.SH,603219,603219,富佳股份,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20211122,1715,4.7,13.45,2.593,33.333,False,True,True,0,0,0,0,True,
603355.SH,603355,603355,莱克电气,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20150513,4100,11.23,28.35,1.613,28.571,False,True,True,0,0,0,0,True,
603486.SH,603486,603486,科沃斯,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20180528,2989,8.18,60.91,0.396,28.0,False,True,True,0,0,0,0,True,
603868.SH,603868,603868,飞科电器,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20160418,3759,10.29,31.74,-0.283,33.333,False,True,True,0,0,0,0,True,
605555.SH,605555,605555,德昌股份,主板,沪市,主板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20211021,1747,4.78,11.82,3.141,35.115,False,True,True,0,0,0,5,True,
688169.SH,688169,688169,石头科技,科创板,沪市,科创板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20200221,2355,6.45,110.82,-0.44,14.706,False,True,True,0,0,0,0,True,
688793.SH,688793,688793,倍轻松,科创板,沪市,科创板,801110.SI,家用电器,801113.SI,小家电,小家电,L,20210715,1845,5.05,17.48,4.42,16.667,False,True,True,0,0,0,0,True,
920199.BJ,920199,920199,倍益康,北交所,北交所,北交所,801110.SI,家用电器,801113.SI,小家电,小家电,L,20221201,1341,3.67,26.37,-2.333,14.925,False,True,True,0,0,0,0,True,
920926.BJ,920926,920926,鸿智科技,北交所,北交所,北交所,801110.SI,家用电器,801113.SI,小家电,小家电,L,20230808,1091,2.99,10.26,-2.841,36.364,False,True,True,0,0,0,0,True,
