ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000607.SZ,000607,000607,华媒控股,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,19960830,10924,29.91,3.37,2.121,25.0,False,True,True,0,0,0,0,True,
000676.SZ,000676,000676,智度股份,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,19961224,10808,29.59,7.45,4.635,14.493,False,True,True,0,0,0,0,True,
002027.SZ,002027,002027,分众传媒,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20040804,8028,21.98,5.35,3.884,33.333,False,True,True,0,0,0,0,True,
002264.SZ,002264,002264,新华都,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20080731,6571,17.99,6.27,1.621,8.333,False,True,True,0,0,0,0,True,
002291.SZ,002291,002291,遥望科技,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20090903,6172,16.9,4.86,0.83,8.333,False,True,True,0,0,0,0,True,
002354.SZ,002354,002354,天娱数科,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100209,6013,16.46,6.23,-0.954,9.524,False,True,True,0,0,0,0,True,
002400.SZ,002400,002400,省广集团,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100506,5927,16.23,6.12,1.157,6.78,False,True,True,0,0,0,0,True,
002712.SZ,002712,002712,思美传媒,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20140123,4569,12.51,4.27,1.425,19.048,False,True,True,0,0,0,0,True,
002878.SZ,002878,002878,元隆雅图,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20170606,3339,9.14,11.57,2.571,7.08,False,True,True,0,0,0,0,True,
002995.SZ,002995,002995,天地在线,主板,深市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20200805,2183,5.98,16.97,9.981,12.667,False,True,True,0,0,0,0,True,
300058.SZ,300058,300058,蓝色光标,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100226,5996,16.42,11.77,-0.507,13.333,False,True,True,0,0,0,0,True,
300061.SZ,300061,300061,旗天科技,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100319,5975,16.36,6.09,0.828,13.333,False,True,True,0,0,0,0,True,
300063.SZ,300063,300063,天龙集团,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100326,5968,16.34,7.72,0.39,10.39,False,True,True,0,0,0,0,True,
300071.SZ,300071,300071,福石控股,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20100421,5942,16.27,4.02,-0.248,12.5,False,True,True,0,0,0,0,True,
300612.SZ,300612,300612,宣亚国际,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20170215,3450,9.45,11.18,1.268,9.346,False,True,True,0,0,0,0,True,
300781.SZ,300781,300781,因赛集团,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20190606,2609,7.14,24.73,1.853,11.475,False,True,True,0,0,0,0,True,
300805.SZ,300805,300805,电声股份,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20191121,2441,6.68,7.82,0.256,11.392,False,True,True,0,0,0,0,True,
301102.SZ,301102,301102,兆讯传媒,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20220328,1583,4.33,9.0,0.671,30.556,False,True,True,0,0,0,0,True,
301171.SZ,301171,301171,易点天下,创业板,深市,创业板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20220819,1439,3.94,26.17,-1.059,12.782,False,True,True,0,0,0,0,True,
600358.SH,600358,600358,国旅联合,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20000922,9440,25.85,4.81,-1.232,23.077,False,True,True,0,0,0,2,True,
600556.SH,600556,600556,天下秀,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20010807,9121,24.97,4.37,0.924,9.524,False,True,True,0,0,0,0,True,
600986.SH,600986,600986,浙文互联,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20040426,8128,22.25,6.94,1.314,5.97,False,True,True,0,0,0,0,True,
603598.SH,603598,603598,引力传媒,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20150527,4080,11.17,15.59,1.829,9.868,False,True,True,0,0,0,0,True,
603602.SH,603602,603602,纵横通信,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20170810,3274,8.96,10.09,1.816,32.143,False,True,True,0,0,0,0,True,
605168.SH,605168,605168,三人行,主板,沪市,主板,801760.SI,传媒,801765.SI,广告营销,广告营销,L,20200528,2252,6.17,33.91,-4.236,43.077,False,True,True,0,0,0,0,True,
