ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000526.SZ,000526,000526,学大教育,主板,深市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,19931101,11978,32.79,35.54,9.997,14.286,False,True,True,0,0,0,0,True,
002093.SZ,002093,002093,国脉科技,主板,深市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,20061215,7186,19.67,6.77,-1.884,12.121,False,True,True,0,0,0,0,True,
002607.SZ,002607,002607,中公教育,主板,深市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,20110810,5487,15.02,2.09,-0.948,20.0,False,True,True,0,0,0,0,True,
002659.SZ,002659,002659,凯文教育,主板,深市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,20120309,5275,14.44,4.56,-0.87,13.333,False,True,True,0,0,0,0,True,
300192.SZ,300192,300192,科德教育,创业板,深市,创业板,801210.SI,社会服务,801994.SI,教育,教育,L,20110322,5628,15.41,14.6,0.62,28.788,False,True,True,0,0,0,0,True,
300359.SZ,300359,300359,全通教育,创业板,深市,创业板,801210.SI,社会服务,801994.SI,教育,教育,L,20140121,4592,12.57,4.18,-2.108,6.977,False,True,True,0,0,0,0,True,
300688.SZ,300688,300688,创业黑马,创业板,深市,创业板,801210.SI,社会服务,801994.SI,教育,教育,L,20170810,3295,9.02,31.5,-3.136,3.797,False,True,True,0,0,0,0,True,
600661.SH,600661,600661,昂立教育,主板,沪市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,19930614,12118,33.18,9.18,1.325,16.667,False,True,True,0,0,0,0,True,
600880.SH,600880,600880,博瑞传播,主板,沪市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,19951115,11234,30.76,3.92,-1.259,10.526,False,True,True,0,0,0,0,True,
605098.SH,605098,605098,行动教育,主板,沪市,主板,801210.SI,社会服务,801994.SI,教育,教育,L,20210421,1945,5.33,56.61,1.743,12.389,False,True,True,0,0,0,0,True,
