ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
001222.SZ,001222,001222,源飞宠物,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20220818,1442,3.95,14.05,0.143,8.824,False,True,True,0,0,0,0,True,
001238.SZ,001238,001238,浙江正特,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20220919,1410,3.86,24.19,1.596,35.821,False,True,True,0,0,0,0,True,
001300.SZ,001300,001300,三柏硕,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20221019,1380,3.78,9.8,-3.448,20.202,False,True,True,0,0,0,0,True,
001368.SZ,001368,001368,通达创智,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20230313,1235,3.38,19.6,-1.804,11.558,False,True,True,0,0,0,0,True,
002103.SZ,002103,002103,广博股份,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20070110,7141,19.55,6.42,1.262,8.333,False,True,True,0,0,0,0,True,
002301.SZ,002301,002301,齐心集团,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20091021,6126,16.77,6.43,-5.718,17.568,False,True,True,0,0,0,0,True,
002348.SZ,002348,002348,高乐股份,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20100203,6021,16.48,9.25,-6.942,22.857,False,True,True,0,0,0,0,True,
002575.SZ,002575,002575,群兴玩具,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20110422,5578,15.27,4.86,0.206,10.417,False,True,True,0,0,0,0,True,
002678.SZ,002678,002678,珠江钢琴,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20120530,5174,14.17,4.25,-1.62,35.849,False,True,True,0,0,0,0,True,
002862.SZ,002862,002862,实丰文化,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20170411,3397,9.3,12.73,-1.165,10.569,False,True,True,0,0,0,0,True,
002899.SZ,002899,002899,英派斯,主板,深市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20170915,3240,8.87,17.85,-0.557,32.836,False,True,True,0,0,0,0,True,
300220.SZ,300220,300220,金运激光,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20110525,5545,15.18,9.68,-0.921,13.684,False,True,True,0,0,0,0,True,
300329.SZ,300329,300329,海伦钢琴,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20120619,5154,14.11,10.85,-0.092,28.333,False,True,True,0,0,0,0,True,
300651.SZ,300651,300651,金陵体育,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20170509,3369,9.22,16.31,-1.747,7.317,False,True,True,0,0,0,0,True,
300703.SZ,300703,300703,创源股份,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20170919,3236,8.86,12.84,2.067,9.524,False,True,True,0,0,0,0,True,
301011.SZ,301011,301011,华立科技,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20210617,1869,5.12,14.14,-0.98,39.583,False,True,True,0,0,0,0,True,
301101.SZ,301101,301101,明月镜片,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20211216,1687,4.62,29.47,1.272,15.789,False,True,True,0,0,0,0,True,
301287.SZ,301287,301287,康力源,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20230614,1142,3.13,32.26,-0.555,6.875,False,True,True,0,0,0,0,True,
301335.SZ,301335,301335,天元宠物,创业板,深市,创业板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20221118,1350,3.7,21.11,2.725,9.901,False,True,True,0,0,0,0,True,
603899.SH,603899,603899,晨光股份,主板,沪市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20150127,4202,11.5,23.65,1.025,31.034,False,True,True,0,0,0,0,True,
605080.SH,605080,605080,浙江自然,主板,沪市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20210506,1911,5.23,19.42,-0.461,27.536,False,True,True,0,0,0,0,True,
605299.SH,605299,605299,舒华体育,主板,沪市,主板,801140.SI,轻工制造,801145.SI,文娱用品,文娱用品,L,20201215,2053,5.62,11.0,-4.926,23.729,False,True,True,0,0,0,0,True,
