ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
001209.SZ,001209,001209,洪兴股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20210723,1854,5.08,17.52,2.157,16.049,False,True,True,0,0,0,0,True,
001234.SZ,001234,001234,泰慕士,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20220111,1682,4.61,22.75,1.336,21.739,False,True,True,0,0,0,0,True,
002029.SZ,002029,002029,七匹狼,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20040806,8049,22.04,8.75,3.062,14.286,False,True,True,0,0,0,0,True,
002154.SZ,002154,002154,报喜鸟,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20070816,6944,19.01,4.2,-0.474,14.634,False,True,True,0,0,0,0,True,
002269.SZ,002269,002269,美邦服饰,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20080828,6566,17.98,1.44,2.128,14.286,False,True,True,0,0,0,0,True,
002293.SZ,002293,002293,罗莱生活,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20090910,6188,16.94,11.36,1.248,13.889,False,True,True,0,0,0,0,True,
002327.SZ,002327,002327,富安娜,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20091230,6077,16.64,6.63,0.607,7.692,False,True,True,0,0,0,0,True,
002397.SZ,002397,002397,梦洁股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20100429,5957,16.31,3.55,-0.56,14.286,False,True,True,0,0,0,0,True,
002404.SZ,002404,002404,嘉欣丝绸,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20100511,5945,16.28,6.1,1.836,10.169,False,True,True,0,0,0,0,True,
002486.SZ,002486,002486,嘉麟杰,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20101015,5788,15.85,2.56,1.992,16.667,False,True,True,0,0,0,0,True,
002494.SZ,002494,002494,华斯股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20101102,5770,15.8,4.85,2.972,13.333,False,True,True,0,0,0,0,True,
002563.SZ,002563,002563,森马服饰,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20110311,5641,15.44,5.88,-0.843,14.286,False,True,True,0,0,0,0,True,
002612.SZ,002612,002612,朗姿股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20110830,5469,14.97,15.48,1.309,10.256,False,True,True,0,0,0,0,True,
002687.SZ,002687,002687,乔治白,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20120713,5151,14.1,6.13,-1.129,19.048,False,True,True,0,0,0,0,True,
002763.SZ,002763,002763,汇洁股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20150610,4089,11.2,7.61,0.528,12.329,False,True,True,0,0,0,0,True,
002780.SZ,002780,002780,三夫户外,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20151209,3907,10.7,13.27,3.108,10.0,False,True,True,0,0,0,0,True,
002832.SZ,002832,002832,比音勒芬,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20161223,3527,9.66,24.97,-0.913,16.667,False,True,True,0,0,0,0,True,
002875.SZ,002875,002875,安奈儿,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20170601,3367,9.22,13.34,2.222,19.118,False,True,True,0,0,0,0,True,
003016.SZ,003016,003016,欣贺股份,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20201026,2124,5.82,6.99,1.895,30.882,False,True,True,0,0,0,0,True,
003041.SZ,003041,003041,真爱美家,主板,深市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20210406,1962,5.37,40.56,0.025,21.519,False,True,True,0,0,0,5,True,
300005.SZ,300005,300005,探路者,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20091030,6138,16.8,10.79,-0.277,17.241,False,True,True,0,0,0,0,True,
300577.SZ,300577,300577,开润股份,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20161221,3529,9.66,17.92,0.901,8.889,False,True,True,0,0,0,0,True,
300591.SZ,300591,300591,万里马,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20170110,3509,9.61,6.66,-14.834,12.5,False,True,True,0,0,0,0,True,
300840.SZ,300840,300840,酷特智能,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20200708,2234,6.12,19.02,0.582,21.649,False,True,True,0,0,0,0,True,
300901.SZ,300901,300901,中胤时尚,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20201029,2121,5.81,18.57,8.66,20.779,False,True,True,0,0,0,0,True,
300952.SZ,300952,300952,恒辉安防,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20210311,1988,5.44,16.3,2.645,12.5,False,True,True,0,0,0,0,True,
301088.SZ,301088,301088,戎美股份,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20211028,1757,4.81,12.71,2.5,33.077,False,True,True,0,0,0,0,True,
301276.SZ,301276,301276,嘉曼服饰,创业板,深市,创业板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20220909,1441,3.95,20.9,2.251,25.243,False,True,True,0,0,0,0,True,
600137.SH,600137,600137,浪莎股份,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,19980416,10353,28.34,17.95,1.7,16.092,False,True,True,0,0,0,0,True,
600177.SH,600177,600177,雅戈尔,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,19981119,10136,27.75,8.0,1.138,10.667,False,True,True,0,0,0,0,True,
600398.SH,600398,600398,海澜之家,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20001228,9366,25.64,6.01,0.167,10.169,False,True,True,0,0,0,0,True,
600400.SH,600400,600400,红豆股份,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20010108,9355,25.61,3.04,-0.977,20.0,False,True,True,0,0,0,0,True,
600630.SH,600630,600630,龙头股份,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,19930209,12245,33.52,6.65,1.682,12.308,False,True,True,0,0,0,0,True,
601566.SH,601566,601566,九牧王,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20110530,5561,15.23,8.47,1.195,36.471,False,True,True,0,0,0,0,True,
603116.SH,603116,603116,红蜻蜓,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20150629,4070,11.14,6.37,2.742,23.333,False,True,True,0,0,0,0,True,
603196.SH,603196,603196,璞源材料,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20170531,3368,9.22,19.5,-0.154,38.053,False,True,True,0,0,0,0,True,
603307.SH,603307,603307,扬州金泉,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20230216,1281,3.51,25.44,2.005,16.522,False,True,True,0,0,0,0,True,
603365.SH,603365,603365,水星家纺,主板,沪市,主板,801130.SI,纺织服饰,801132.SI,服装家纺,服装家纺,L,20171120,3195,8.75,17.66,2.317,20.112,False,True,True,0,0,0,0,True,
