ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000030.SZ,000030,000030,富奥股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19930929,12031,32.94,4.06,0.247,25.581,False,True,True,0,0,0,0,True,
000338.SZ,000338,000338,潍柴动力,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20070430,7070,19.36,27.54,2.57,14.706,False,True,True,0,0,0,0,True,
000559.SZ,000559,000559,万向钱潮,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19940110,11928,32.66,11.04,1.192,33.898,False,True,True,0,0,0,0,True,
000570.SZ,000570,000570,苏常柴A,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19940701,11756,32.19,5.23,0.577,8.0,False,True,True,0,0,0,0,True,
000581.SZ,000581,000581,威孚高科,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19980924,10210,27.95,18.05,-0.221,11.864,False,True,True,0,0,0,0,True,
000589.SZ,000589,000589,贵州轮胎,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19960308,11140,30.5,4.31,-0.919,6.977,False,True,True,0,0,0,0,True,
000599.SZ,000599,000599,青岛双星,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19960430,11087,30.35,4.69,-0.846,12.766,False,True,True,0,0,0,0,True,
000678.SZ,000678,000678,襄阳轴承,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19970106,10836,29.67,9.37,1.627,11.236,False,True,True,0,0,0,0,True,
000700.SZ,000700,000700,模塑科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19970228,10783,29.52,11.7,5.405,6.957,False,True,True,0,0,0,0,True,
000816.SZ,000816,000816,智慧农业,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19970818,10612,29.05,3.25,10.169,17.241,False,True,True,0,0,0,0,True,
000880.SZ,000880,000880,潍柴重机,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19980402,10385,28.43,25.57,5.226,8.75,False,True,True,0,0,0,0,True,
000887.SZ,000887,000887,中鼎股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19981203,10140,27.76,21.32,3.696,9.434,False,True,True,0,0,0,0,True,
000901.SZ,000901,000901,航天科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19990401,10021,27.44,14.1,-1.053,9.929,False,True,True,0,0,0,0,True,
000980.SZ,000980,000980,众泰汽车,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20000616,9579,26.23,1.67,2.454,11.765,False,True,True,0,0,0,0,True,
000981.SZ,000981,000981,山子高科,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20000622,9573,26.21,2.68,0.752,11.111,False,True,True,0,0,0,0,True,
001260.SZ,001260,001260,坤泰股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230216,1299,3.56,18.65,1.857,12.088,False,True,True,0,0,0,0,True,
001278.SZ,001278,001278,一彬科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230308,1279,3.5,16.1,-4.11,12.27,False,True,True,0,0,0,0,True,
001282.SZ,001282,001282,三联锻造,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230524,1202,3.29,16.02,0.818,11.95,False,True,True,0,0,0,0,True,
001311.SZ,001311,001311,多利科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230227,1288,3.53,18.03,4.643,13.793,False,True,True,0,0,0,0,True,
001319.SZ,001319,001319,铭科精技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20220512,1579,4.32,20.16,0.249,11.224,False,True,True,0,0,0,0,True,
001380.SZ,001380,001380,华纬科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20230516,1210,3.31,17.92,-0.167,14.634,False,True,True,0,0,0,0,True,
002048.SZ,002048,002048,宁波华翔,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20050603,7766,21.26,19.26,2.885,8.333,False,True,True,0,0,0,0,True,
002085.SZ,002085,002085,万丰奥威,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20061128,7223,19.78,10.34,-1.053,11.538,False,True,True,0,0,0,0,True,
002101.SZ,002101,002101,广东鸿图,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20061229,7192,19.69,8.74,0.115,17.241,False,True,True,0,0,0,0,True,
002126.SZ,002126,002126,银轮股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20070418,7082,19.39,42.29,1.488,18.571,False,True,True,0,0,0,0,True,
002190.SZ,002190,002190,成飞集成,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20071203,6853,18.76,26.09,1.242,14.062,False,True,True,0,0,0,0,True,
002239.SZ,002239,002239,奥特佳,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20080522,6682,18.29,2.55,0.0,8.0,False,True,True,0,0,0,0,True,
002265.SZ,002265,002265,建设工业,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20080806,6606,18.09,20.8,-3.03,18.75,False,True,True,0,0,0,0,True,
002283.SZ,002283,002283,天润工业,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20090821,6226,17.05,8.27,1.224,17.442,False,True,True,0,0,0,0,True,
002284.SZ,002284,002284,亚太股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20090828,6219,17.03,10.15,-0.976,10.0,False,True,True,0,0,0,0,True,
002328.SZ,002328,002328,新朋股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20091230,6095,16.69,9.56,-4.016,8.163,False,True,True,0,0,0,0,True,
002355.SZ,002355,002355,兴民智通,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100209,6054,16.57,4.92,-0.606,8.333,False,True,True,0,0,0,0,True,
002363.SZ,002363,002363,隆基机械,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100305,6030,16.51,6.9,-0.145,14.063,False,True,True,0,0,0,0,True,
002406.SZ,002406,002406,远东传动,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100518,5956,16.31,6.76,-1.17,7.463,False,True,True,0,0,0,0,True,
002434.SZ,002434,002434,万里扬,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100618,5925,16.22,5.82,0.0,25.424,False,True,True,0,0,0,0,True,
002448.SZ,002448,002448,中原内配,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100716,5897,16.15,11.96,2.573,10.744,False,True,True,0,0,0,0,True,
002454.SZ,002454,002454,松芝股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100720,5893,16.13,5.1,-0.196,25.49,False,True,True,0,0,0,0,True,
002472.SZ,002472,002472,双环传动,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20100910,5841,15.99,37.62,-1.13,9.211,False,True,True,0,0,0,0,True,
002488.SZ,002488,002488,金固股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20101021,5800,15.88,8.1,-1.34,11.905,False,True,True,0,0,0,0,True,
002510.SZ,002510,002510,天汽模,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20101125,5765,15.78,5.69,-0.524,8.929,False,True,True,0,0,0,0,True,
002516.SZ,002516,002516,旷达科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20101207,5753,15.75,5.88,8.688,14.545,False,True,True,0,0,0,0,True,
002536.SZ,002536,002536,飞龙股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20110111,5718,15.66,57.37,-1.528,12.821,False,True,True,0,0,0,0,True,
002537.SZ,002537,002537,海联金汇,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20110110,5719,15.66,6.4,-3.03,14.516,False,True,True,0,0,0,0,True,
002553.SZ,002553,002553,南方精工,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20110225,5673,15.53,18.27,7.218,14.286,False,True,True,0,0,0,0,True,
002590.SZ,002590,002590,万安科技,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20110610,5568,15.24,9.99,-0.399,13.684,False,True,True,0,0,0,0,True,
002662.SZ,002662,002662,峰璟股份,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20120309,5295,14.5,3.3,0.0,21.212,False,True,True,0,0,0,0,True,
002664.SZ,002664,002664,信质集团,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20120316,5288,14.48,15.6,2.632,25.0,False,True,True,0,0,0,0,True,
