ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
002174.SZ,002174,002174,游族网络,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20070925,6877,18.83,10.31,-5.413,16.667,False,True,True,0,0,0,0,True,
002425.SZ,002425,002425,凯撒文化,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20100608,5890,16.13,2.46,-3.529,22.222,False,True,True,0,0,0,0,True,
002517.SZ,002517,002517,恺英网络,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20101207,5708,15.63,14.88,-4.309,9.259,False,True,True,0,0,0,0,True,
002555.SZ,002555,002555,三七互娱,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20110302,5623,15.39,18.16,-1.732,8.511,False,True,True,0,0,0,0,True,
002558.SZ,002558,002558,巨人网络,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20110302,5623,15.39,24.18,-4.276,17.073,False,True,True,0,0,0,0,True,
002602.SZ,002602,002602,世纪华通,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20110728,5475,14.99,12.38,0.814,13.043,False,True,True,0,0,0,0,True,
002605.SZ,002605,002605,姚记科技,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20110805,5467,14.97,16.59,-3.039,14.583,False,True,True,0,0,0,0,True,
002624.SZ,002624,002624,完美世界,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20111028,5383,14.74,9.61,-5.969,16.667,False,True,True,0,0,0,0,True,
002919.SZ,002919,002919,名臣健康,主板,深市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20171218,3140,8.6,15.74,-5.409,26.531,False,True,True,0,0,0,0,True,
300002.SZ,300002,300002,神州泰岳,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20091030,6111,16.73,7.59,-5.831,10.0,False,True,True,0,0,0,0,True,
300031.SZ,300031,300031,宝通科技,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20091225,6055,16.58,17.99,-2.757,27.66,False,True,True,0,0,0,0,True,
300043.SZ,300043,300043,星辉娱乐,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20100120,6029,16.51,4.27,-4.26,21.739,False,True,True,0,0,0,0,True,
300052.SZ,300052,300052,中青宝,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20100211,6007,16.45,8.97,-4.574,13.978,False,True,True,0,0,0,2,True,
300113.SZ,300113,300113,顺网科技,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20100827,5810,15.91,15.97,-5.67,7.647,False,True,True,0,0,0,0,True,
300299.SZ,300299,300299,富春股份,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20120319,5240,14.35,4.88,-2.204,10.204,False,True,True,0,0,0,0,True,
300315.SZ,300315,300315,掌趣科技,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20120511,5187,14.2,3.89,-4.187,10.0,False,True,True,0,0,0,0,True,
300418.SZ,300418,300418,昆仑万维,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20150121,4202,11.5,36.68,-6.714,18.31,False,True,True,0,0,0,0,True,
300459.SZ,300459,300459,汤姆猫,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20150515,4088,11.19,3.4,-3.683,8.824,False,True,True,0,0,0,0,True,
300467.SZ,300467,300467,迅游科技,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20150527,4076,11.16,31.92,2.802,19.643,False,True,True,0,0,0,0,True,
300494.SZ,300494,300494,盛天网络,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20151231,3858,10.56,7.59,-4.045,10.127,False,True,True,0,0,0,0,True,
300533.SZ,300533,300533,冰川网络,创业板,深市,创业板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20160818,3627,9.93,12.94,-4.431,23.913,False,True,True,0,0,0,0,True,
600633.SH,600633,600633,浙数文化,主板,沪市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,19930304,12195,33.39,10.1,-4.807,24.074,False,True,True,0,0,0,0,True,
600715.SH,600715,600715,文投控股,主板,沪市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,19960701,10980,30.06,1.45,-3.333,44.444,False,True,True,0,0,0,0,True,
603258.SH,603258,603258,电魂网络,主板,沪市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20161026,3558,9.74,10.82,-3.307,50.0,False,True,True,0,0,0,0,True,
603444.SH,603444,603444,吉比特,主板,沪市,主板,801760.SI,传媒,801764.SI,游戏Ⅱ,游戏Ⅱ,L,20170104,3488,9.55,347.8,-3.033,8.621,False,True,True,0,0,0,0,True,
