ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000551.SZ,000551,000551,创元科技,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,19940106,11943,32.7,12.36,3.086,14.516,False,True,True,0,0,0,0,True,
000890.SZ,000890,000890,法尔胜,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,19990119,10104,27.66,7.68,0.655,15.584,False,True,True,0,0,0,0,True,
000967.SZ,000967,000967,盈峰环境,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20000330,9668,26.47,8.26,2.481,15.476,False,True,True,0,0,0,0,True,
001336.SZ,001336,001336,楚环科技,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20220725,1516,4.15,19.17,2.404,8.696,False,True,True,0,0,0,0,True,
002645.SZ,002645,002645,华宏科技,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20111220,5386,14.75,18.27,2.296,11.475,False,True,True,0,0,0,0,True,
002658.SZ,002658,002658,雪迪龙,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20120309,5306,14.53,7.36,0.273,9.211,False,True,True,0,0,0,0,True,
300105.SZ,300105,300105,龙源技术,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20100820,5873,16.08,7.25,0.415,17.105,False,True,True,0,0,0,0,True,
300137.SZ,300137,300137,先河环保,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20101105,5796,15.87,11.5,9.005,15.455,False,True,True,0,0,0,0,True,
300203.SZ,300203,300203,聚光科技,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20110415,5635,15.43,12.76,2.903,10.938,False,True,True,0,0,0,0,True,
300210.SZ,300210,300210,森远股份,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20110426,5624,15.4,7.42,0.678,16.867,False,True,True,0,0,0,0,True,
300631.SZ,300631,300631,久吾高科,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20170323,3466,9.49,21.31,0.9,14.085,False,True,True,0,0,0,0,True,
300786.SZ,300786,300786,国林科技,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20190723,2614,7.16,15.8,10.722,10.135,False,True,True,0,0,0,0,True,
300800.SZ,300800,300800,力合科技,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20191106,2508,6.87,10.02,-0.496,12.0,False,True,True,0,0,0,0,True,
301081.SZ,301081,301081,严牌股份,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20211020,1794,4.91,17.55,4.651,24.684,False,True,True,0,0,0,0,True,
301288.SZ,301288,301288,清研环境,创业板,深市,创业板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20220422,1610,4.41,15.97,0.0,10.588,False,True,True,0,0,0,0,True,
600388.SH,600388,600388,紫金龙净,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20001229,9394,25.72,17.45,-0.172,14.773,False,True,True,0,0,0,0,True,
600526.SH,600526,600526,菲达环保,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20020722,8824,24.16,4.56,-0.219,17.391,False,True,True,0,0,0,0,True,
600817.SH,600817,600817,宇通重工,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,19940128,11921,32.64,9.74,2.634,24.49,False,True,True,0,0,0,0,True,
603126.SH,603126,603126,中材节能,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20140731,4432,12.13,6.24,0.322,25.806,False,True,True,0,0,0,0,True,
603282.SH,603282,603282,亚光股份,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20230315,1283,3.51,16.14,0.498,18.868,False,True,True,0,0,0,0,True,
603324.SH,603324,603324,盛剑科技,主板,沪市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20210407,1990,5.45,26.9,2.75,10.448,False,True,True,0,0,0,0,True,
688309.SH,688309,688309,恒誉科技,科创板,沪市,科创板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20200714,2257,6.18,77.92,8.222,17.021,False,True,True,0,0,0,0,True,
688376.SH,688376,688376,美埃科技,科创板,沪市,科创板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20221118,1400,3.83,66.6,5.463,35.135,False,True,True,0,0,0,0,True,
688501.SH,688501,688501,青达环保,科创板,沪市,科创板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20210716,1890,5.17,15.4,5.842,17.391,False,True,True,0,0,0,0,True,
688671.SH,688671,688671,碧兴物联,科创板,沪市,科创板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20230809,1136,3.11,24.91,2.216,10.833,False,True,True,0,0,0,0,True,
920145.BJ,920145,920145,恒合股份,北交所,北交所,北交所,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,20211115,1768,4.84,10.1,0.798,17.647,False,True,True,0,0,0,0,True,
