ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000012.SZ,000012,000012,南玻A,主板,深市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,19920228,12565,34.4,3.74,-1.837,27.273,False,True,True,0,0,0,0,True,
002080.SZ,002080,002080,中材科技,主板,深市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20061120,7186,19.67,47.22,-5.748,57.143,False,True,True,0,0,0,0,True,
002201.SZ,002201,002201,九鼎新材,主板,深市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20071226,6785,18.58,7.29,-2.41,19.444,False,True,True,0,0,0,0,True,
002613.SZ,002613,002613,北玻股份,主板,深市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20110830,5442,14.9,3.0,-3.537,19.355,False,True,True,0,0,0,0,True,
300196.SZ,300196,300196,长海股份,创业板,深市,创业板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20110329,5596,15.32,15.86,-3.587,13.939,False,True,True,0,0,0,0,True,
301526.SZ,301526,301526,国际复材,创业板,深市,创业板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20231226,941,2.58,25.7,-3.781,29.167,False,True,True,0,0,0,0,True,
600176.SH,600176,600176,中国巨石,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,19990422,9955,27.26,37.34,-2.659,56.8,False,True,True,0,0,0,0,True,
600293.SH,600293,600293,三峡新材,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20000919,9439,25.84,2.52,-3.448,15.385,False,True,True,0,0,0,0,True,
600586.SH,600586,600586,金晶科技,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20020815,8744,23.94,3.94,-3.194,22.5,False,True,True,0,0,0,0,True,
600819.SH,600819,600819,耀皮玻璃,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,19940128,11865,32.48,4.87,-2.794,36.066,False,True,True,0,0,0,0,True,
600876.SH,600876,600876,凯盛新能,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,19951031,11224,30.73,6.29,-2.177,40.0,False,True,True,0,0,0,0,True,
601636.SH,601636,601636,旗滨集团,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20110812,5460,14.95,5.62,-3.436,45.455,False,True,True,0,0,0,0,True,
603256.SH,603256,603256,宏和科技,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20190719,2562,7.01,145.77,-5.24,53.676,False,True,True,0,0,0,0,True,
603601.SH,603601,603601,再升科技,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20150122,4201,11.5,7.94,-3.758,20.0,False,True,True,0,0,0,0,True,
605006.SH,605006,605006,山东玻纤,主板,沪市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,20200903,2150,5.89,12.71,-4.003,33.333,False,True,True,0,0,0,0,True,
