ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000403.SZ,000403,000403,派林生物,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19960628,10961,30.01,9.16,0.77,37.288,False,True,True,0,0,0,0,True,
000534.SZ,000534,000534,万泽股份,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19940110,11861,32.47,30.38,3.474,13.333,False,True,True,0,0,0,0,True,
000661.SZ,000661,000661,长春高新,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19961218,10788,29.54,69.11,-1.651,35.714,False,True,True,0,0,0,0,True,
002007.SZ,002007,002007,华兰生物,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20040625,8042,22.02,12.74,1.111,20.0,False,True,True,0,0,0,0,True,
002252.SZ,002252,002252,上海莱士,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20080623,6583,18.02,4.53,1.116,36.842,False,True,True,0,0,0,0,True,
002773.SZ,002773,002773,康弘药业,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20150626,4024,11.02,21.9,-0.905,35.849,False,True,True,0,0,0,0,True,
002880.SZ,002880,002880,卫光生物,主板,深市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20170616,3303,9.04,21.23,2.709,28.788,False,True,True,0,0,0,0,True,
300009.SZ,300009,300009,安科生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20091030,6089,16.67,8.09,-0.858,20.732,False,True,True,0,0,0,0,True,
300122.SZ,300122,300122,智飞生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20100928,5756,15.76,12.17,-1.617,31.25,False,True,True,0,0,0,0,True,
300142.SZ,300142,300142,沃森生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20101112,5711,15.64,12.99,-2.697,15.385,False,True,True,0,0,0,3,True,
300239.SZ,300239,300239,东宝生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20110706,5475,14.99,5.21,-2.799,7.547,False,True,True,0,0,0,0,True,
300294.SZ,300294,300294,博雅生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20120308,5229,14.32,15.05,0.939,43.902,False,True,True,0,0,0,0,True,
300318.SZ,300318,300318,博晖创新,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20120523,5153,14.11,4.43,0.226,37.037,False,True,True,0,0,0,0,True,
300357.SZ,300357,300357,我武生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20140121,4545,12.44,24.05,-1.797,17.241,False,True,True,0,0,0,0,True,
300485.SZ,300485,300485,赛升药业,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20150626,4024,11.02,9.73,-1.319,16.129,False,True,True,0,0,0,0,True,
300601.SZ,300601,300601,康泰生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20170207,3432,9.4,11.73,-1.759,33.333,False,True,True,0,0,0,0,True,
300841.SZ,300841,300841,康华生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200616,2207,6.04,48.72,-0.531,25.0,False,True,True,0,0,0,0,True,
301047.SZ,301047,301047,义翘神州,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210816,1781,4.88,68.01,-0.235,16.0,False,True,True,0,0,0,0,True,
301080.SZ,301080,301080,百普赛斯,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20211018,1718,4.7,47.41,-3.442,18.0,False,True,True,0,0,0,0,True,
301166.SZ,301166,301166,优宁维,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20211228,1647,4.51,26.73,-1.402,16.667,False,True,True,0,0,0,0,True,
301207.SZ,301207,301207,华兰疫苗,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20220218,1595,4.37,16.89,-0.295,24.194,False,True,True,0,0,0,0,True,
301393.SZ,301393,301393,昊帆生物,创业板,深市,创业板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20230712,1086,2.97,64.83,-3.397,18.862,False,True,True,0,0,0,0,True,
600161.SH,600161,600161,天坛生物,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19980616,10243,28.04,12.03,0.669,48.0,False,True,True,0,0,0,0,True,
600211.SH,600211,600211,西藏药业,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19990721,9843,26.95,38.52,0.365,15.152,False,True,True,0,0,0,0,True,
600739.SH,600739,600739,辽宁成大,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19960819,10909,29.87,10.24,-1.916,17.857,False,True,True,0,0,0,0,True,
600867.SH,600867,600867,通化东宝,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,19940824,11635,31.85,8.29,-0.12,21.951,False,True,True,0,0,0,0,True,
603087.SH,603087,603087,甘李药业,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200629,2194,6.01,57.25,-1.395,15.152,False,True,True,0,0,0,0,True,
603392.SH,603392,603392,万泰生物,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200429,2255,6.17,28.14,-0.601,29.167,False,True,True,0,0,0,0,True,
603590.SH,603590,603590,康辰药业,主板,沪市,主板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20180827,2866,7.85,31.15,1.931,28.205,False,True,True,0,0,0,0,True,
688105.SH,688105,688105,诺唯赞,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20211115,1690,4.63,18.05,-2.957,21.429,False,True,True,0,0,0,0,True,
688136.SH,688136,688136,科兴制药,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20201214,2026,5.55,21.9,-0.273,26.829,False,True,True,0,0,0,0,True,
688137.SH,688137,688137,近岸蛋白,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20220929,1372,3.76,38.24,1.973,33.333,False,True,True,0,0,0,0,True,
688163.SH,688163,688163,赛伦生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20220311,1574,4.31,51.4,4.535,20.339,False,True,True,0,0,0,0,True,
688177.SH,688177,688177,百奥泰,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200221,2323,6.36,17.79,-1.112,44.898,False,True,True,0,0,0,0,True,
688180.SH,688180,688180,君实生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200715,2178,5.96,36.04,0.39,28.571,False,True,True,0,0,0,0,True,
688185.SH,688185,688185,康希诺,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200813,2149,5.88,52.38,-1.3,35.714,False,True,True,0,0,0,0,True,
688276.SH,688276,688276,百克生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210625,1833,5.02,14.65,-0.136,35.714,False,True,True,0,0,0,0,True,
688278.SH,688278,688278,特宝生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200117,2358,6.46,57.46,0.104,37.805,False,True,True,0,0,0,0,True,
688293.SH,688293,688293,奥浦迈,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20220902,1399,3.83,43.11,-3.535,33.333,False,True,True,0,0,0,0,True,
688319.SH,688319,688319,欧林生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210608,1850,5.07,39.0,1.036,22.396,False,True,True,0,0,0,0,True,
688331.SH,688331,688331,荣昌生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20220331,1554,4.25,140.45,1.043,19.697,False,True,True,0,0,0,0,True,
688336.SH,688336,688336,三生国健,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200722,2171,5.94,59.16,1.128,39.623,False,True,True,0,0,0,0,True,
688443.SH,688443,688443,智翔金泰,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20230620,1108,3.03,23.93,-1.442,14.286,False,True,True,0,0,0,0,True,
688488.SH,688488,688488,艾迪药业,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200720,2173,5.95,13.98,-1.131,38.571,False,True,True,0,0,0,0,True,
688520.SH,688520,688520,神州细胞,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20200622,2201,6.03,37.0,-1.596,55.769,False,True,True,0,0,0,0,True,
688670.SH,688670,688670,金迪克,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210802,1795,4.91,16.71,-2.849,30.233,False,True,True,0,0,0,0,True,
688687.SH,688687,688687,凯因科技,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210208,1970,5.39,17.14,-0.233,29.412,False,True,True,0,0,0,0,True,
688739.SH,688739,688739,成大生物,科创板,沪市,科创板,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20211028,1708,4.68,19.97,-0.498,34.615,False,True,True,0,0,0,0,True,
920047.BJ,920047,920047,诺思兰德,北交所,北交所,北交所,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20201124,2046,5.6,20.07,0.3,12.121,False,True,True,0,0,0,0,True,
920344.BJ,920344,920344,三元基因,北交所,北交所,北交所,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20210108,2001,5.48,19.27,-1.784,30.0,False,True,True,0,0,0,0,True,
920547.BJ,920547,920547,无锡晶海,北交所,北交所,北交所,801150.SI,医药生物,801152.SI,生物制品,生物制品,L,20231212,933,2.55,17.85,-2.406,26.214,False,True,True,0,0,0,0,True,
