ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000922.SZ,000922,000922,佳电股份,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,19990618,9897,27.1,10.97,1.857,25.984,False,True,True,0,0,0,0,True,
002176.SZ,002176,002176,江特电机,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20071012,6859,18.78,7.99,5.968,38.095,False,True,True,0,0,0,0,True,
002196.SZ,002196,002196,方正电机,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20071212,6798,18.61,10.04,3.292,16.327,False,True,True,0,0,0,0,True,
002249.SZ,002249,002249,大洋电机,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20080619,6608,18.09,6.98,3.102,24.324,False,True,True,0,0,0,0,True,
002576.SZ,002576,002576,通达动力,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20110428,5565,15.24,13.13,3.549,12.121,False,True,True,0,0,0,0,True,
002801.SZ,002801,002801,微光股份,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20160622,3683,10.08,26.7,2.025,20.0,False,True,True,0,0,0,0,True,
002823.SZ,002823,002823,凯中精密,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20161124,3528,9.66,12.15,2.101,17.073,False,True,True,0,0,0,0,True,
002892.SZ,002892,002892,科力尔,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20170817,3262,8.93,9.02,1.008,13.043,False,True,True,0,0,0,0,True,
003021.SZ,003021,003021,兆威机电,主板,深市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20201204,2057,5.63,76.66,-0.467,24.59,False,True,True,0,0,0,0,True,
300626.SZ,300626,300626,华瑞股份,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20170320,3412,9.34,27.01,7.098,38.028,False,True,True,0,0,0,0,True,
300660.SZ,300660,300660,江苏雷利,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20170602,3338,9.14,25.53,0.314,26.0,False,True,True,0,0,0,0,True,
300907.SZ,300907,300907,康平科技,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20201118,2073,5.68,39.64,1.097,36.29,False,True,True,0,0,0,0,True,
301023.SZ,301023,301023,奕帆传动,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20210707,1842,5.04,26.07,0.346,22.388,False,True,True,0,0,0,0,True,
301226.SZ,301226,301226,祥明智能,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20220325,1581,4.33,24.86,1.885,32.5,False,True,True,0,0,0,0,True,
301502.SZ,301502,301502,华阳智能,创业板,深市,创业板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20240202,902,2.47,49.15,5.044,45.133,False,True,True,0,0,0,0,True,
600416.SH,600416,600416,湘电股份,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20020718,8771,24.01,8.8,4.019,38.0,False,True,True,0,0,0,0,True,
600580.SH,600580,600580,卧龙电驱,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20020606,8813,24.13,29.68,1.783,27.381,False,True,True,0,0,0,0,True,
603320.SH,603320,603320,迪贝电气,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20170502,3369,9.22,15.65,3.987,46.667,False,True,True,0,0,0,0,True,
603344.SH,603344,603344,星德胜,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20240320,855,2.34,20.59,2.642,16.585,False,True,True,0,0,0,0,True,
603350.SH,603350,603350,安乃达,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20240703,750,2.05,26.56,-1.447,11.594,False,True,True,0,0,0,0,True,
603489.SH,603489,603489,八方股份,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20191111,2446,6.7,24.42,3.431,41.667,False,True,True,0,0,0,0,True,
603728.SH,603728,603728,鸣志电器,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20170509,3362,9.2,48.4,-1.345,23.762,False,True,True,0,0,0,0,True,
603819.SH,603819,603819,神力股份,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20161125,3527,9.66,11.58,4.607,20.312,False,True,True,0,0,0,0,True,
603988.SH,603988,603988,中电电机,主板,沪市,主板,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20141104,4279,11.72,17.17,9.994,42.857,False,True,True,0,0,0,0,True,
