ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000726.SZ,000726,000726,鲁泰A,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20001225,9328,25.54,5.56,-0.358,25.0,False,True,True,0,0,0,0,True,
000850.SZ,000850,000850,华茂股份,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,19981007,10138,27.76,3.76,0.267,36.585,False,True,True,0,0,0,0,True,
000955.SZ,000955,000955,欣龙控股,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,19991209,9710,26.58,4.26,1.914,13.636,False,True,True,0,0,0,0,True,
002003.SZ,002003,002003,伟星股份,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20040625,8050,22.04,8.41,-1.637,16.129,False,True,True,0,0,0,0,True,
002042.SZ,002042,002042,华孚时尚,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20050427,7744,21.2,3.69,1.374,35.135,False,True,True,0,0,0,0,True,
002083.SZ,002083,002083,孚日股份,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20061124,7168,19.62,9.3,-1.587,20.0,False,True,True,0,0,0,0,True,
002098.SZ,002098,002098,浔兴股份,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20061222,7140,19.55,6.46,1.572,41.558,False,True,True,0,0,0,0,True,
002144.SZ,002144,002144,宏达高科,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20070803,6916,18.93,10.77,10.01,14.563,False,True,True,0,0,0,0,True,
002394.SZ,002394,002394,联发股份,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20100423,5922,16.21,9.2,0.767,30.303,False,True,True,0,0,0,0,True,
002674.SZ,002674,002674,兴业科技,主板,深市,主板,801130.SI,纺织服饰,801131.SI,纺织制造,纺织制造,L,20120507,5177,14.17,30.8,-0.033,12.5,False,True,True,0,0,0,0,True,
