ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000988.SZ,000988,000988,华工科技,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20000608,9560,26.17,103.8,0.116,14.035,False,True,True,0,0,0,0,True,
001223.SZ,001223,001223,欧克科技,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20221212,1338,3.66,39.51,1.438,28.571,False,True,True,0,0,0,0,True,
001266.SZ,001266,001266,宏英智能,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20220228,1625,4.45,35.18,1.559,14.286,False,True,True,0,0,0,0,True,
002008.SZ,002008,002008,大族激光,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20040625,8082,22.13,95.38,-0.553,23.333,False,True,True,0,0,0,0,True,
002184.SZ,002184,002184,海得控制,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20071116,6843,18.74,9.98,-0.399,10.417,False,True,True,0,0,0,0,True,
002334.SZ,002334,002334,英威腾,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20100113,6054,16.57,6.82,1.639,18.462,False,True,True,0,0,0,0,True,
002698.SZ,002698,002698,博实股份,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20120911,5082,13.91,13.05,-3.761,11.364,False,True,True,0,0,0,0,True,
002747.SZ,002747,002747,埃斯顿,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20150320,4162,11.39,36.12,4.303,12.791,False,True,True,0,0,0,0,True,
002957.SZ,002957,002957,科瑞技术,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20190726,2573,7.04,38.8,-1.046,18.75,False,True,True,0,0,0,0,True,
002975.SZ,002975,002975,博杰股份,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20200205,2379,6.51,97.72,-3.238,22.642,False,True,True,0,0,0,0,True,
002979.SZ,002979,002979,雷赛智能,主板,深市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20200408,2316,6.34,60.8,3.313,7.071,False,True,True,0,0,0,0,True,
300024.SZ,300024,300024,机器人,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20091030,6129,16.78,16.0,1.394,11.538,False,True,True,0,0,0,0,True,
300048.SZ,300048,300048,合康新能,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20100120,6047,16.56,5.24,-1.689,32.075,False,True,True,0,0,0,0,True,
300083.SZ,300083,300083,创世纪,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20100520,5927,16.23,14.03,-3.706,26.866,False,True,True,0,0,0,0,True,
300097.SZ,300097,300097,智云股份,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20100728,5858,16.04,9.05,-0.985,22.353,False,True,True,0,0,0,0,True,
300124.SZ,300124,300124,汇川技术,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20100928,5796,15.87,63.97,-0.575,20.833,False,True,True,0,0,0,0,True,
300227.SZ,300227,300227,光韵达,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20110608,5543,15.18,11.61,-2.601,33.333,False,True,True,0,0,0,0,True,
300276.SZ,300276,300276,三丰智能,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20111115,5383,14.74,6.87,-0.579,14.706,False,True,True,0,0,0,0,True,
300278.SZ,300278,300278,华昌达,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20111216,5352,14.65,3.95,0.0,18.421,False,True,True,0,0,0,0,True,
300400.SZ,300400,300400,劲拓股份,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20141010,4323,11.84,30.11,-2.557,29.861,False,True,True,0,0,0,0,True,
300461.SZ,300461,300461,田中精机,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20150519,4102,11.23,35.36,10.916,35.443,False,True,True,0,0,0,0,True,
300484.SZ,300484,300484,蓝海华腾,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20160322,3794,10.39,13.75,3.774,15.079,False,True,True,0,0,0,0,True,
300486.SZ,300486,300486,东杰智能,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20150630,4060,11.12,19.71,-1.989,28.283,False,True,True,0,0,0,0,True,
300607.SZ,300607,300607,拓斯达,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20170209,3470,9.5,33.45,1.889,11.656,False,True,True,0,0,0,0,True,
300747.SZ,300747,300747,锐科激光,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20180625,2969,8.13,35.27,-0.17,17.391,False,True,True,0,0,0,0,True,
300757.SZ,300757,300757,罗博特科,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20190108,2772,7.59,488.8,0.127,19.718,False,True,True,0,0,0,0,True,
300802.SZ,300802,300802,矩子科技,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20191114,2462,6.74,22.48,-2.81,12.15,False,True,True,0,0,0,0,True,
301021.SZ,301021,301021,英诺激光,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20210706,1862,5.1,67.03,0.269,20.732,False,True,True,0,0,0,0,True,
301029.SZ,301029,301029,怡合达,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20210723,1845,5.05,27.19,-0.11,20.0,False,True,True,0,0,0,0,True,
301112.SZ,301112,301112,信邦智能,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20220629,1504,4.12,32.59,0.835,21.429,False,True,True,0,0,0,0,True,
301199.SZ,301199,301199,迈赫股份,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20211207,1708,4.68,18.68,-0.053,22.581,False,True,True,0,0,0,0,True,
301312.SZ,301312,301312,智立方,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20220711,1492,4.08,69.45,4.894,17.021,False,True,True,0,0,0,0,True,
301320.SZ,301320,301320,豪江智能,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20230609,1159,3.17,13.06,0.539,14.05,False,True,True,0,0,0,0,True,
301418.SZ,301418,301418,协昌科技,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20230821,1086,2.97,37.95,-1.659,14.045,False,True,True,0,0,0,0,True,
301510.SZ,301510,301510,固高科技,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20230815,1092,2.99,26.75,0.075,31.818,False,True,True,0,0,0,0,True,
301512.SZ,301512,301512,智信精密,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20230720,1118,3.06,30.71,0.359,13.83,False,True,True,0,0,0,0,True,
301568.SZ,301568,301568,思泰克,创业板,深市,创业板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20231128,987,2.7,67.45,-1.288,13.636,False,True,True,0,0,0,0,True,
600215.SH,600215,600215,派斯林,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,19990909,9833,26.92,6.43,0.784,16.393,False,True,True,0,0,0,0,True,
603015.SH,603015,603015,弘讯科技,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20150303,4179,11.44,10.7,-1.654,35.849,False,True,True,0,0,0,0,True,
603025.SH,603025,603025,大豪科技,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20150422,4129,11.3,13.53,-0.074,25.532,False,True,True,0,0,0,0,True,
603082.SH,603082,603082,北自科技,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20240130,924,2.53,41.43,3.497,10.553,False,True,True,0,0,0,0,True,
603203.SH,603203,603203,快克智能,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20161108,3563,9.75,43.47,-0.753,57.377,False,True,True,0,0,0,0,True,
603275.SH,603275,603275,众辰科技,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20230823,1084,2.97,36.82,0.656,18.182,False,True,True,0,0,0,0,True,
603283.SH,603283,603283,赛腾股份,主板,沪市,主板,801890.SI,机械设备,801078.SI,自动化设备,自动化设备,L,20171225,3151,8.63,43.86,-1.283,13.115,False,True,True,0,0,0,0,True,
