ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000088.SZ,000088,000088,盐田港,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19970728,10570,28.94,4.22,1.687,6.818,False,True,True,0,0,0,0,True,
000520.SZ,000520,000520,凤凰航运,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19931025,11942,32.7,4.7,3.297,18.605,False,True,True,0,0,0,0,True,
000582.SZ,000582,000582,北部湾港,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19951102,11204,30.67,11.47,1.865,23.077,False,True,True,0,0,0,0,True,
000905.SZ,000905,000905,厦门港务,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19990429,9930,27.19,8.1,0.124,36.17,False,True,True,0,0,0,0,True,
001205.SZ,001205,001205,盛航股份,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20210513,1880,5.15,13.82,0.072,5.714,False,True,True,0,0,0,0,True,
001872.SZ,001872,001872,招商港口,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19930505,12115,33.17,21.29,2.11,23.0,False,True,True,0,0,0,0,True,
002040.SZ,002040,002040,南京港,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20050325,7773,21.28,7.86,0.383,11.688,False,True,True,0,0,0,0,True,
002320.SZ,002320,002320,海峡股份,主板,深市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20091216,6046,16.55,6.53,-0.305,46.429,False,True,True,0,0,0,0,True,
600017.SH,600017,600017,日照港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20061017,7202,19.72,2.64,1.538,17.241,False,True,True,0,0,0,0,True,
600018.SH,600018,600018,上港集团,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20061026,7193,19.69,4.99,2.675,17.647,False,True,True,0,0,0,0,True,
600026.SH,600026,600026,中远海能,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20020523,8810,24.12,17.37,0.0,27.551,False,True,True,0,0,0,0,True,
600179.SH,600179,600179,安通控股,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19981104,10106,27.67,4.65,1.307,11.111,False,True,True,0,0,0,0,True,
600279.SH,600279,600279,重庆港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20000731,9471,25.93,3.98,0.759,33.333,False,True,True,0,0,0,0,True,
600428.SH,600428,600428,中远海特,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20020418,8845,24.22,8.64,0.116,12.346,False,True,True,0,0,0,0,True,
600751.SH,600751,600751,海航科技,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19960909,10892,29.82,2.94,-0.676,27.273,False,True,True,0,0,0,0,True,
600798.SH,600798,600798,宁波海运,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,19970423,10666,29.2,3.15,-0.317,17.143,False,True,True,0,0,0,0,True,
601000.SH,601000,601000,唐山港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20100705,5845,16.0,4.19,-0.475,16.667,False,True,True,0,0,0,0,True,
601008.SH,601008,601008,连云港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20070426,7011,19.2,4.29,0.704,18.605,False,True,True,0,0,0,0,True,
601018.SH,601018,601018,宁波港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20100928,5760,15.77,3.33,1.524,19.444,False,True,True,0,0,0,0,True,
601022.SH,601022,601022,宁波远洋,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20221208,1306,3.58,7.93,0.253,10.526,False,True,True,0,0,0,0,True,
601083.SH,601083,601083,锦江航运,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20231205,944,2.58,10.7,3.783,9.804,False,True,True,0,0,0,0,True,
601228.SH,601228,601228,广州港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20170329,3386,9.27,2.95,1.375,12.121,False,True,True,0,0,0,0,True,
601298.SH,601298,601298,青岛港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20190121,2723,7.46,8.09,0.248,13.953,False,True,True,0,0,0,0,True,
601326.SH,601326,601326,秦港股份,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20170816,3246,8.89,3.33,1.835,11.429,False,True,True,0,0,0,0,True,
601866.SH,601866,601866,中远海发,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20071212,6781,18.57,2.34,2.183,19.231,False,True,True,0,0,0,0,True,
601872.SH,601872,601872,招商轮船,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20061201,7157,19.59,17.68,4.0,28.571,False,True,True,0,0,0,0,True,
601880.SH,601880,601880,辽港股份,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20101206,5691,15.58,1.43,2.143,12.5,False,True,True,0,0,0,0,True,
601919.SH,601919,601919,中远海控,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20070626,6950,19.03,13.98,1.895,8.696,False,True,True,0,0,0,0,True,
601975.SH,601975,601975,招商南油,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20190108,2736,7.49,3.74,1.355,25.581,False,True,True,0,0,0,0,True,
603162.SH,603162,603162,海通发展,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20230329,1195,3.27,9.89,2.7,14.737,False,True,True,0,0,0,0,True,
603167.SH,603167,603167,渤海轮渡,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20120906,5051,13.83,9.07,0.778,6.593,False,True,True,0,0,0,0,True,
603209.SH,603209,603209,兴通股份,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20220324,1565,4.28,13.36,0.3,16.312,False,True,True,0,0,0,0,True,
603565.SH,603565,603565,中谷物流,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20200925,2110,5.78,10.27,-0.194,12.5,False,True,True,0,0,0,0,True,
920571.BJ,920571,920571,国航远洋,北交所,北交所,北交所,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20221215,1299,3.56,8.19,-2.5,17.857,False,True,True,0,0,0,0,True,
