ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
002495.SZ,002495,002495,佳隆股份,主板,深市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20101102,5728,15.68,2.11,-0.472,19.048,False,True,True,0,0,0,0,True,
002507.SZ,002507,002507,涪陵榨菜,主板,深市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20101123,5707,15.62,10.99,-2.05,13.333,False,True,True,0,0,0,0,True,
300908.SZ,300908,300908,仲景食品,创业板,深市,创业板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20201123,2054,5.62,22.8,-2.23,19.355,False,True,True,0,0,0,0,True,
600186.SH,600186,600186,莲花控股,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,19980825,10180,27.87,11.0,1.01,25.833,False,True,True,0,0,0,0,True,
600298.SH,600298,600298,安琪酵母,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20000818,9456,25.89,36.5,-1.591,15.385,False,True,True,0,0,0,0,True,
600305.SH,600305,600305,恒顺醋业,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20010206,9284,25.42,6.46,-1.824,16.667,False,True,True,0,0,0,0,True,
600872.SH,600872,600872,中炬高新,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,19950124,11489,31.46,17.99,-2.862,15.217,False,True,True,0,0,0,0,True,
603027.SH,603027,603027,千禾味业,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20160307,3776,10.34,7.03,-2.632,33.333,False,True,True,0,0,0,0,True,
603170.SH,603170,603170,宝立食品,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20220715,1455,3.98,11.62,-3.488,17.46,False,True,True,0,0,0,0,True,
603288.SH,603288,603288,海天味业,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20140211,4531,12.41,33.33,-2.258,105.882,False,True,True,0,0,0,0,True,
603317.SH,603317,603317,天味食品,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20190416,2641,7.23,13.32,-5.866,23.188,False,True,True,0,0,0,0,True,
603696.SH,603696,603696,安记食品,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20151209,3865,10.58,11.27,-0.967,14.035,False,True,True,0,0,0,0,True,
603755.SH,603755,603755,日辰股份,主板,沪市,主板,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20190828,2507,6.86,22.55,-1.097,23.256,False,True,True,0,0,0,0,True,
920726.BJ,920726,920726,朱老六,北交所,北交所,北交所,801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,调味发酵品Ⅱ,L,20210527,1869,5.12,16.48,-1.788,9.195,False,True,True,0,0,0,0,True,
