ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000506.SZ,000506,000506,招金黄金,主板,深市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,19930312,12229,33.48,20.64,-1.667,7.692,False,True,True,0,0,0,0,True,
000975.SZ,000975,000975,山金国际,主板,深市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20000608,9584,26.24,26.25,-1.464,24.242,False,True,True,0,0,0,0,True,
001337.SZ,001337,001337,四川黄金,主板,深市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20230303,1281,3.51,53.2,-2.582,13.636,False,True,True,0,0,0,0,True,
002237.SZ,002237,002237,恒邦股份,主板,深市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20080520,6681,18.29,14.96,-1.644,12.162,False,True,True,0,0,0,0,True,
002716.SZ,002716,002716,湖南白银,主板,深市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20140128,4602,12.6,11.22,-3.192,8.85,False,True,True,0,0,0,0,True,
300139.SZ,300139,300139,晓程科技,创业板,深市,创业板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20101112,5775,15.81,51.96,-1.87,4.598,False,True,True,0,0,0,0,True,
600489.SH,600489,600489,中金黄金,主板,沪市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20030814,8422,23.06,25.6,-0.35,25.397,False,True,True,0,0,0,0,True,
600547.SH,600547,600547,山东黄金,主板,沪市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20030828,8408,23.02,37.9,1.067,29.31,False,True,True,0,0,0,0,True,
600988.SH,600988,600988,赤峰黄金,主板,沪市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20040414,8178,22.39,45.69,-1.953,17.391,False,True,True,0,0,0,0,True,
601069.SH,601069,601069,西部黄金,主板,沪市,主板,801050.SI,有色金属,801053.SI,贵金属,贵金属,L,20150122,4243,11.62,30.0,-1.8,15.0,False,True,True,0,0,0,0,True,
