ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000063.SZ,000063,000063,中兴通讯,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,19971118,10537,28.85,31.92,-1.115,8.929,False,True,True,0,0,0,0,True,
000070.SZ,000070,000070,特发信息,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20000511,9632,26.37,17.94,-0.278,8.889,False,True,True,0,0,0,0,True,
000586.SZ,000586,000586,汇源通信,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,19951220,11236,30.76,13.41,-1.542,5.0,False,True,True,0,0,0,0,True,
002017.SZ,002017,002017,东信和平,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20040713,8108,22.2,14.2,-1.798,15.789,False,True,True,0,0,0,0,True,
002104.SZ,002104,002104,恒宝股份,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20070110,7197,19.7,10.54,-3.568,11.304,False,True,True,0,0,0,0,True,
002194.SZ,002194,002194,武汉凡谷,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20071207,6866,18.8,10.62,-0.469,4.545,False,True,True,0,0,0,0,True,
002281.SZ,002281,002281,光迅科技,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20090821,6243,17.09,181.99,-4.216,11.207,False,True,True,0,0,0,0,True,
002296.SZ,002296,002296,辉煌科技,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20090929,6204,16.99,9.43,-1.256,6.522,False,True,True,0,0,0,0,True,
002313.SZ,002313,002313,日海智能,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20091203,6139,16.81,8.98,-3.545,13.483,False,True,True,0,0,0,0,True,
002396.SZ,002396,002396,星网锐捷,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20100623,5937,16.25,36.65,0.356,4.787,False,True,True,0,0,0,0,True,
002491.SZ,002491,002491,通鼎互联,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20101021,5817,15.93,23.8,-1.977,4.545,False,True,True,0,0,0,0,True,
002583.SZ,002583,002583,海能达,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20110527,5599,15.33,8.03,0.125,8.434,False,True,True,0,0,0,0,True,
002792.SZ,002792,002792,通宇通讯,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20160328,3832,10.49,33.05,-0.9,12.5,False,True,True,0,0,0,0,True,
002796.SZ,002796,002796,世嘉科技,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20160510,3789,10.37,29.16,-4.706,9.804,False,True,True,0,0,0,0,True,
002881.SZ,002881,002881,美格智能,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20170622,3381,9.26,45.53,-1.557,14.159,False,True,True,0,0,0,0,True,
002897.SZ,002897,002897,意华股份,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20170907,3304,9.05,65.71,-3.154,10.0,False,True,True,0,0,0,0,True,
002902.SZ,002902,002902,铭普光磁,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20170929,3282,8.99,27.86,-3.365,7.071,False,True,True,0,0,0,0,True,
003031.SZ,003031,003031,中瓷电子,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20210104,2089,5.72,129.35,-3.9,15.789,False,True,True,0,0,0,0,True,
003040.SZ,003040,003040,楚天龙,主板,深市,主板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20210322,2012,5.51,14.5,-8.862,17.45,False,True,True,0,0,0,0,True,
300098.SZ,300098,300098,高新兴,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20100728,5902,16.16,4.24,-0.935,8.889,False,True,True,0,0,0,0,True,
300134.SZ,300134,300134,大富科技,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20101026,5812,15.91,8.42,-0.59,14.286,False,True,True,0,0,0,0,True,
300183.SZ,300183,300183,东软载波,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20110222,5693,15.59,11.12,2.018,12.963,False,True,True,0,0,0,0,True,
300213.SZ,300213,300213,佳讯飞鸿,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20110505,5621,15.39,6.45,-0.922,7.812,False,True,True,0,0,0,0,True,
300308.SZ,300308,300308,中际旭创,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20120410,5280,14.46,895.86,-2.888,10.569,False,True,True,0,0,0,0,True,
300353.SZ,300353,300353,东土科技,创业板,深市,创业板,801770.SI,通信,801102.SI,通信设备,通信设备,L,20120927,5110,13.99,16.86,-0.178,18.072,False,True,True,0,0,0,0,True,
