ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000039.SZ,000039,000039,中集集团,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19940408,11774,32.24,8.26,5.089,,False,True,True,0,0,0,0,True,
000410.SZ,000410,000410,沈阳机床,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19960718,10942,29.96,5.04,1.205,,False,True,True,0,0,0,0,True,
000530.SZ,000530,000530,冰山冷热,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19931208,11895,32.57,5.36,0.0,,False,True,True,0,0,0,0,True,
000777.SZ,000777,000777,中核科技,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19970710,10585,28.98,18.85,0.053,,False,True,True,0,0,0,0,True,
000811.SZ,000811,000811,冰轮环境,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19980528,10263,28.1,52.65,3.458,,False,True,True,0,0,0,0,True,
000837.SZ,000837,000837,秦川机床,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19980928,10140,27.76,12.43,4.279,,False,True,True,0,0,0,0,True,
001306.SZ,001306,001306,夏厦精密,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20231116,960,2.63,63.29,9.993,,False,True,True,0,0,0,0,True,
001379.SZ,001379,001379,腾达科技,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20240119,896,2.45,16.36,3.479,,False,True,True,0,0,0,0,True,
001696.SZ,001696,001696,宗申动力,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19970306,10711,29.33,19.97,1.784,,False,True,True,0,0,0,0,True,
002026.SZ,002026,002026,山东威达,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20040727,8011,21.93,11.3,1.986,,False,True,True,0,0,0,0,True,
002046.SZ,002046,002046,国机精工,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20050526,7708,21.1,71.99,-0.566,,False,True,True,0,0,0,0,True,
002131.SZ,002131,002131,利欧股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20070427,7007,19.18,4.52,-1.952,,False,True,True,0,0,0,0,True,
002132.SZ,002132,002132,恒星科技,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20070427,7007,19.18,5.56,-2.967,,False,True,True,0,0,0,0,True,
002150.SZ,002150,002150,正泰电源,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20070810,6902,18.9,26.9,4.792,,False,True,True,0,0,0,0,True,
002158.SZ,002158,002158,汉钟精机,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20070817,6895,18.88,35.97,-1.154,,False,True,True,0,0,0,0,True,
002164.SZ,002164,002164,宁波东力,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20070823,6889,18.86,12.91,7.315,,False,True,True,0,0,0,0,True,
002248.SZ,002248,002248,华东数控,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20080612,6595,18.06,9.52,2.919,,False,True,True,0,0,0,0,True,
002272.SZ,002272,002272,川润股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20080919,6496,17.79,23.26,-2.921,,False,True,True,0,0,0,0,True,
002282.SZ,002282,002282,博深股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20090821,6160,16.87,5.84,2.098,,False,True,True,0,0,0,0,True,
002342.SZ,002342,002342,巨力索具,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20100126,6002,16.43,10.96,-5.108,,False,True,True,0,0,0,0,True,
002347.SZ,002347,002347,泰尔股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20100128,6000,16.43,6.19,5.272,,False,True,True,0,0,0,0,True,
002438.SZ,002438,002438,江苏神通,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20100623,5854,16.03,14.45,0.837,,False,True,True,0,0,0,0,True,
002444.SZ,002444,002444,巨星科技,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20100713,5834,15.97,33.2,3.106,,False,True,True,0,0,0,0,True,
002445.SZ,002445,002445,中南文化,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20100713,5834,15.97,2.92,1.742,,False,True,True,0,0,0,11,True,
002520.SZ,002520,002520,日发精机,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20101210,5684,15.56,7.72,9.972,,False,True,True,0,0,0,0,True,
002552.SZ,002552,002552,宝鼎科技,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20110225,5607,15.35,65.38,6.725,,False,True,True,0,0,0,0,True,
002559.SZ,002559,002559,亚威股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20110303,5601,15.33,14.24,-7.412,,False,True,True,0,0,0,0,True,
002633.SZ,002633,002633,申科股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20111122,5337,14.61,15.77,3.955,,False,True,True,0,0,0,0,True,
002639.SZ,002639,002639,雪人集团,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20111205,5324,14.58,13.64,-0.728,,False,True,True,0,0,0,0,True,
002760.SZ,002760,002760,凤形股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20150611,4040,11.06,17.1,2.09,,False,True,True,0,0,0,0,True,
002767.SZ,002767,002767,先锋电子,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20150612,4039,11.06,18.04,10.0,,False,True,True,0,0,0,0,True,
002795.SZ,002795,002795,永和智控,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20160428,3718,10.18,6.86,-5.118,,False,True,True,0,0,0,0,True,
002819.SZ,002819,002819,东方中科,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20161111,3521,9.64,21.1,-0.566,,False,True,True,0,0,0,0,True,
002843.SZ,002843,002843,泰嘉股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170120,3451,9.45,23.53,5.327,,False,True,True,0,0,0,0,True,
002849.SZ,002849,002849,威星智能,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170217,3423,9.37,16.38,-1.266,,False,True,True,0,0,0,0,True,
002871.SZ,002871,002871,伟隆股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170511,3340,9.14,20.84,-3.429,,False,True,True,0,0,0,0,True,
002877.SZ,002877,002877,智能自控,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170605,3315,9.08,7.43,3.771,,False,True,True,0,0,0,0,True,
002884.SZ,002884,002884,凌霄泵业,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170711,3279,8.98,15.84,1.931,,False,True,True,0,0,0,0,True,
002896.SZ,002896,002896,中大力德,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20170829,3230,8.84,85.62,9.995,,False,True,True,0,0,0,0,True,
002903.SZ,002903,002903,宇环数控,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20171013,3185,8.72,43.28,2.075,,False,True,True,0,0,0,0,True,
002943.SZ,002943,002943,宇晶股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20181129,2773,7.59,44.55,-2.195,,False,True,True,0,0,0,0,True,
003025.SZ,003025,003025,思进智能,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20201211,2030,5.56,15.06,3.648,,False,True,True,0,0,0,0,True,
