sw_l2_name,default_passed_quote_count,avg_pct_chg
贵金属,11,7.811
航天装备Ⅱ,8,6.256
航海装备Ⅱ,9,5.241
电机Ⅱ,24,5.065
航空装备Ⅱ,42,4.554
汽车零部件,231,4.437
家电零部件Ⅱ,32,3.699
风电设备,26,3.586
动物保健Ⅱ,12,3.251
自动化设备,83,3.245
军工电子Ⅱ,53,2.941
工程机械,33,2.921
商用车,13,2.678
通用设备,225,2.618
服装家纺,50,2.532
油气开采Ⅱ,2,2.488
其他家电Ⅱ,3,2.476
厨卫电器,8,2.471
小家电,21,2.447
专用设备,171,2.389
地面兵装Ⅱ,11,2.318
消费电子,89,2.293
水泥,20,2.288
照明设备Ⅱ,13,2.209
电网设备,125,2.156
造纸,22,2.07
医疗器械,122,2.053
医疗服务,46,1.994
饰品,13,1.985
医药商业,30,1.966
生物制品,51,1.965
燃气Ⅱ,28,1.809
纺织制造,31,1.785
摩托车及其他,15,1.768
化学制药,145,1.692
房屋建设Ⅱ,7,1.637
家居用品,63,1.612
铁路公路,33,1.6
房地产服务,9,1.528
中药Ⅱ,62,1.523
乘用车,8,1.425
文娱用品,22,1.367
多元金融,24,1.36
教育,10,1.353
物流,41,1.334
贸易Ⅱ,12,1.319
计算机设备,81,1.304
工程咨询服务Ⅱ,44,1.304
专业工程,36,1.286
炼化及贸易,29,1.269
旅游及景区,20,1.251
环境治理,101,1.233
酒店餐饮,8,1.206
渔业,6,1.176
白色家电,9,1.106
装修装饰Ⅱ,13,1.091
休闲食品,20,1.089
饮料乳品,27,1.079
航运港口,34,1.073
化妆品,15,1.053
工业金属,57,1.049
食品加工,23,1.022
医疗美容,3,1.02
个护用品,12,0.996
煤炭开采,29,0.947
汽车服务,11,0.94
农产品加工,19,0.889
专业连锁Ⅱ,7,0.869
其他电源设备Ⅱ,26,0.817
油服工程,11,0.811
一般零售,58,0.803
体育Ⅱ,2,0.796
轨交设备Ⅱ,29,0.794
种植业,21,0.764
电视广播Ⅱ,14,0.725
通信设备,83,0.711
房地产开发,77,0.684
调味发酵品Ⅱ,14,0.677
非白酒,10,0.677
环保设备Ⅱ,25,0.658
金属新材料,28,0.64
白酒Ⅱ,19,0.612
塑料,71,0.571
软件开发,126,0.537
特钢Ⅱ,12,0.517
基础建设,36,0.5
通信服务,34,0.437
农业综合Ⅱ,3,0.418
包装印刷,41,0.415
IT服务Ⅱ,117,0.41
专业服务,30,0.406
农商行Ⅱ,10,0.405
证券Ⅱ,49,0.394
出版,28,0.393
装修建材,34,0.358
影视院线,17,0.322
其他电子Ⅱ,29,0.304
股份制银行Ⅱ,9,0.28
综合Ⅱ,14,0.264
保险Ⅱ,5,0.257
电力,100,0.222
玻璃玻纤,15,0.137
农化制品,56,0.111
养殖业,21,0.082
普钢,20,0.059
数字媒体,12,0.041
电池,101,-0.007
元件,55,-0.023
焦炭Ⅱ,7,-0.037
橡胶,20,-0.154
互联网电商,16,-0.157
城商行Ⅱ,17,-0.159
航空机场,12,-0.184
黑色家电,9,-0.243
非金属材料Ⅱ,11,-0.324
冶钢原料,9,-0.449
化学纤维,22,-0.512
旅游零售Ⅱ,2,-0.54
国有大型银行Ⅱ,6,-0.564
光伏设备,61,-0.608
饲料,18,-0.846
能源金属,13,-0.911
游戏Ⅱ,24,-1.022
化学制品,160,-1.518
化学原料,56,-1.84
光学光电子,87,-2.036
林业Ⅱ,3,-2.372
半导体,151,-2.534
小金属,22,-2.701
广告营销,25,-3.074
电子化学品Ⅱ,33,-5.759
