ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
920003.BJ,920003,920003,中诚咨询,北交所,北交所,北交所,801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,工程咨询服务Ⅱ,L,20251107,314,0.86,14.97,-0.133,10.0,False,True,True,0,0,0,0,False,上市时间不足
920005.BJ,920005,920005,鼎佳精密,北交所,北交所,北交所,801080.SI,电子,801085.SI,消费电子,消费电子,L,20250731,413,1.13,23.12,-1.407,11.111,False,True,True,0,0,0,0,False,上市时间不足
920007.BJ,920007,920007,酉立智能,北交所,北交所,北交所,801730.SI,电力设备,801735.SI,光伏设备,光伏设备,L,20250808,405,1.11,32.05,-1.019,12.281,False,True,True,0,0,0,0,False,上市时间不足
920009.BJ,920009,920009,丹娜生物,北交所,北交所,北交所,801150.SI,医药生物,801153.SI,医疗器械,医疗器械,L,20251103,318,0.87,33.87,0.475,9.917,False,True,True,0,0,0,0,False,上市时间不足
920011.BJ,920011,920011,晨光电机,北交所,北交所,北交所,801730.SI,电力设备,801731.SI,电机Ⅱ,电机Ⅱ,L,20260408,162,0.44,17.66,-0.563,7.527,False,True,True,0,0,0,0,False,上市时间不足
920012.BJ,920012,920012,创达新材,北交所,北交所,北交所,801080.SI,电子,801081.SI,半导体,半导体,L,20260413,157,0.43,48.55,-2.647,12.8,False,True,True,0,0,0,0,False,上市时间不足
920015.BJ,920015,920015,锦华新材,北交所,北交所,北交所,801030.SI,基础化工,801034.SI,化学制品,化学制品,L,20250925,357,0.98,37.89,-0.551,13.846,False,True,True,0,0,0,0,False,上市时间不足
920018.BJ,920018,920018,宏远股份,北交所,北交所,北交所,801730.SI,电力设备,801738.SI,电网设备,电网设备,L,20250820,393,1.08,14.38,-0.691,11.538,False,True,True,0,0,0,0,False,上市时间不足
920019.BJ,920019,920019,铜冠矿建,北交所,北交所,北交所,801720.SI,建筑装饰,801724.SI,专业工程,专业工程,L,20241011,706,1.93,14.9,-4.609,23.529,False,True,True,0,0,0,0,False,上市时间不足
920020.BJ,920020,920020,泰凯英,北交所,北交所,北交所,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20251028,324,0.89,14.54,0.069,8.497,False,True,True,0,0,0,0,False,上市时间不足
920022.BJ,920022,920022,世昌股份,北交所,北交所,北交所,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20250919,363,0.99,18.75,1.133,8.421,False,True,True,0,0,0,0,False,上市时间不足
920023.BJ,920023,920023,*ST田野,北交所,北交所,北交所,801010.SI,农林牧渔,801012.SI,农产品加工,农产品加工,L,20230202,1323,3.62,1.41,0.0,23.529,True,True,True,0,0,0,0,False,ST
920027.BJ,920027,920027,交大铁发,北交所,北交所,北交所,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,轨交设备Ⅱ,L,20250610,464,1.27,11.39,-1.214,11.304,False,True,True,0,0,0,0,False,上市时间不足
920028.BJ,920028,920028,新恒泰,北交所,北交所,北交所,801030.SI,基础化工,801036.SI,塑料,塑料,L,20260320,181,0.5,14.92,-4.665,11.409,False,True,True,0,0,0,0,False,上市时间不足
920029.BJ,920029,920029,开发科技,北交所,北交所,北交所,801730.SI,电力设备,801738.SI,电网设备,电网设备,L,20250328,538,1.47,31.52,-1.253,17.647,False,True,True,0,0,0,0,False,上市时间不足
920035.BJ,920035,920035,精创电气,北交所,北交所,北交所,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,20251202,289,0.79,23.66,-0.085,9.756,False,True,True,0,0,0,0,False,上市时间不足
920036.BJ,920036,920036,觅睿科技,北交所,北交所,北交所,801750.SI,计算机,801101.SI,计算机设备,计算机设备,L,20260309,192,0.53,30.58,0.891,10.625,False,True,True,0,0,0,0,False,上市时间不足
920037.BJ,920037,920037,广信科技,北交所,北交所,北交所,801730.SI,电力设备,801738.SI,电网设备,电网设备,L,20250626,448,1.23,37.17,-1.091,14.0,False,True,True,0,0,0,0,False,上市时间不足
920038.BJ,920038,920038,森合高科,北交所,北交所,北交所,,,,,未分类,L,20260805,43,0.12,37.58,0.428,8.065,False,True,True,0,0,0,0,False,上市时间不足
920045.BJ,920045,920045,蘅东光,北交所,北交所,北交所,801770.SI,通信,801102.SI,通信设备,通信设备,L,20251231,260,0.71,556.0,-5.12,19.231,False,True,True,0,0,0,0,False,上市时间不足
920050.BJ,920050,920050,爱伦医疗,北交所,北交所,北交所,801150.SI,医药生物,801153.SI,医疗器械,医疗器械,L,20260121,239,0.65,27.68,-1.319,13.287,False,True,True,0,0,0,0,False,上市时间不足
920055.BJ,920055,920055,隆源股份,北交所,北交所,北交所,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,20260331,170,0.47,25.21,-0.158,8.178,False,True,True,0,0,0,0,False,上市时间不足
920056.BJ,920056,920056,能之光,北交所,北交所,北交所,801030.SI,基础化工,801036.SI,塑料,塑料,L,20250822,391,1.07,13.92,-0.925,15.789,False,True,True,0,0,0,0,False,上市时间不足
920059.BJ,920059,920059,双英集团,北交所,北交所,北交所,,,,,未分类,L,20260819,29,0.08,12.27,-0.808,7.143,False,True,True,0,1,1,1,False,上市时间不足、近60日停牌
920060.BJ,920060,920060,万源通,北交所,北交所,北交所,801080.SI,电子,801083.SI,元件,元件,L,20241119,667,1.83,27.7,-3.079,20.93,False,True,True,0,0,0,0,False,上市时间不足
920065.BJ,920065,920065,千岸科技,北交所,北交所,北交所,,,,,未分类,L,20260729,50,0.14,35.28,6.49,8.235,False,True,True,0,1,1,1,False,上市时间不足、近60日停牌
920066.BJ,920066,920066,科拜尔,北交所,北交所,北交所,801030.SI,基础化工,801036.SI,塑料,塑料,L,20241031,686,1.88,17.52,-3.365,9.89,False,True,True,0,0,0,0,False,上市时间不足
920068.BJ,920068,920068,天工股份,北交所,北交所,北交所,801050.SI,有色金属,801054.SI,小金属,小金属,L,20250513,492,1.35,15.42,-0.708,18.71,False,True,True,0,0,0,0,False,上市时间不足
920069.BJ,920069,920069,普昂医疗,北交所,北交所,北交所,801150.SI,医药生物,801153.SI,医疗器械,医疗器械,L,20260327,174,0.48,31.69,-0.315,5.952,False,True,True,0,0,0,0,False,上市时间不足
920071.BJ,920071,920071,金钛股份,北交所,北交所,北交所,,,,,未分类,L,20260903,14,0.04,25.51,-1.544,5.019,False,True,True,0,0,0,0,False,上市时间不足
