ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000008.SZ,000008,000008,神州高铁,主板,深市,主板,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,轨交设备Ⅱ,L,19920507,12517,34.27,2.39,-1.24,16.0,False,True,True,0,6,6,6,False,近60日停牌
000010.SZ,000010,000010,*ST美丽,主板,深市,主板,801720.SI,建筑装饰,801723.SI,基础建设,基础建设,L,19951027,11249,30.8,1.53,-2.548,20.0,True,True,True,0,0,0,2,False,ST
000016.SZ,000016,000016,*ST康佳A,主板,深市,主板,801110.SI,家用电器,801111.SI,白色家电,白色家电,L,19920327,12558,34.38,2.41,-2.033,16.0,True,True,True,0,0,0,2,False,ST
000056.SZ,000056,000056,*ST皇庭,主板,深市,主板,801180.SI,房地产,801183.SI,房地产服务,房地产服务,L,19960708,10994,30.1,1.96,3.704,20.0,True,True,True,0,0,0,2,False,ST
000078.SZ,000078,000078,ST海王,主板,深市,主板,801150.SI,医药生物,801154.SI,医药商业,医药商业,L,19981218,10101,27.66,1.69,-1.744,11.765,True,True,True,0,0,0,2,False,ST
000488.SZ,000488,000488,ST晨鸣,主板,深市,主板,801140.SI,轻工制造,801143.SI,造纸,造纸,L,20001120,9398,25.73,1.91,0.0,36.364,True,True,True,0,0,0,0,False,ST
000504.SZ,000504,000504,南华生物,主板,深市,主板,801150.SI,医药生物,801156.SI,医疗服务,医疗服务,L,19921208,12302,33.68,8.84,-1.778,16.667,False,True,True,0,0,2,2,False,近60日停牌
000524.SZ,000524,000524,岭南控股,主板,深市,主板,801210.SI,社会服务,801993.SI,旅游及景区,旅游及景区,L,19931118,11957,32.74,9.34,-0.954,20.0,False,True,True,0,11,11,11,False,近60日停牌
000595.SZ,000595,000595,新能股份,主板,深市,主板,801890.SI,机械设备,801072.SI,通用设备,通用设备,L,19960419,11074,30.32,5.97,-4.785,11.111,False,True,True,0,2,2,2,False,近60日停牌
000609.SZ,000609,000609,*ST中迪,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19961010,10900,29.84,10.91,2.441,30.769,True,True,True,0,0,0,2,False,ST
000610.SZ,000610,000610,*ST西旅,主板,深市,主板,801210.SI,社会服务,801993.SI,旅游及景区,旅游及景区,L,19960926,10914,29.88,5.98,-0.333,16.364,True,True,True,0,0,0,2,False,ST
000615.SZ,000615,000615,*ST美谷,主板,深市,主板,801980.SI,美容护理,801983.SI,医疗美容,医疗美容,L,19961016,10894,29.83,3.4,0.89,14.706,True,True,True,0,0,0,0,False,ST
000632.SZ,000632,000632,ST三木,主板,深市,主板,801230.SI,综合,801231.SI,综合Ⅱ,综合Ⅱ,L,19961121,10858,29.73,3.68,4.545,21.875,True,True,True,0,0,0,2,False,ST
000639.SZ,000639,000639,ST西王,主板,深市,主板,801120.SI,食品饮料,801124.SI,食品加工,食品加工,L,19961126,10853,29.71,1.65,-0.602,12.5,True,True,True,0,0,0,2,False,ST
000656.SZ,000656,000656,金科股份,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19961128,10851,29.71,1.27,-1.55,7.692,False,True,True,0,2,2,2,False,近60日停牌
000668.SZ,000668,000668,荣丰控股,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19961210,10839,29.68,23.12,-3.907,21.429,False,True,True,0,0,2,2,False,近60日停牌
000669.SZ,000669,000669,ST金鸿,主板,深市,主板,801160.SI,公用事业,801163.SI,燃气Ⅱ,燃气Ⅱ,L,19961210,10839,29.68,3.99,-0.25,20.513,True,True,True,0,0,0,0,False,ST
000677.SZ,000677,000677,ST海龙,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19961226,10823,29.63,1.74,0.0,11.765,True,True,True,0,0,0,2,False,ST
000691.SZ,000691,000691,亚太实业,主板,深市,主板,801030.SI,基础化工,801033.SI,化学原料,化学原料,L,19970228,10759,29.46,10.3,-3.377,18.182,False,True,True,0,0,2,2,False,近60日停牌
000698.SZ,000698,000698,ST沈化,主板,深市,主板,801960.SI,石油石化,801963.SI,炼化及贸易,炼化及贸易,L,19970220,10767,29.48,3.44,-0.29,25.0,True,True,True,0,0,0,0,False,ST
000711.SZ,000711,000711,ST京蓝,主板,深市,主板,801970.SI,环保,801971.SI,环境治理,环境治理,L,19970411,10717,29.34,6.24,3.14,25.926,True,True,True,0,0,0,0,False,ST
000736.SZ,000736,000736,中交发展,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19970425,10703,29.3,4.46,-3.463,22.727,False,True,True,0,0,2,2,False,近60日停牌
000752.SZ,000752,000752,*ST西发,主板,深市,主板,801120.SI,食品饮料,801126.SI,非白酒,非白酒,L,19970625,10642,29.14,9.14,1.782,17.241,True,True,True,0,0,0,2,False,ST
000793.SZ,000793,000793,ST华闻,主板,深市,主板,801760.SI,传媒,801769.SI,出版,出版,L,19970729,10608,29.04,2.19,0.0,23.077,True,True,True,2,3,4,4,False,ST、近60日停牌
000820.SZ,000820,000820,神雾节能,主板,深市,主板,801970.SI,环保,801972.SI,环保设备Ⅱ,环保设备Ⅱ,L,19980630,10272,28.12,3.48,-6.952,11.111,False,True,True,2,2,2,2,False,近60日停牌
000821.SZ,000821,000821,ST京机,主板,深市,主板,801730.SI,电力设备,801735.SI,光伏设备,光伏设备,L,19980626,10276,28.13,7.19,-0.139,20.833,True,True,True,0,0,0,0,False,ST
000826.SZ,000826,000826,*ST启环,主板,深市,主板,801970.SI,环保,801971.SI,环境治理,环境治理,L,19980225,10397,28.47,1.86,-1.064,37.5,True,True,True,0,0,0,2,False,ST
000838.SZ,000838,000838,*ST发展,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19970626,10641,29.13,2.81,-4.096,26.923,True,True,True,6,6,6,8,False,ST、近60日停牌
000903.SZ,000903,000903,ST云动,主板,深市,主板,801880.SI,汽车,801093.SI,汽车零部件,汽车零部件,L,19990415,9983,27.33,1.89,0.532,22.222,True,True,True,0,0,0,0,False,ST
000908.SZ,000908,000908,石药景峰,主板,深市,主板,801150.SI,医药生物,801151.SI,化学制药,化学制药,L,19990203,10054,27.53,6.95,-1.138,11.765,False,True,True,0,0,2,2,False,近60日停牌
000909.SZ,000909,000909,*ST数源,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19990507,9961,27.27,4.23,-0.704,18.182,True,True,True,0,0,0,0,False,ST
000911.SZ,000911,000911,*ST广糖,主板,深市,主板,801010.SI,农林牧渔,801012.SI,农产品加工,农产品加工,L,19990527,9941,27.22,4.57,1.556,25.0,True,True,True,0,0,0,2,False,ST
000929.SZ,000929,000929,兰州黄河,主板,深市,主板,801120.SI,食品饮料,801126.SI,非白酒,非白酒,L,19990623,9914,27.14,8.87,-0.113,20.69,False,True,True,0,0,2,2,False,近60日停牌
