ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000001.SZ,000001,000001,平安银行,主板,深市,主板,801780.SI,银行,801783.SI,股份制银行Ⅱ,股份制银行Ⅱ,L,19910403,12896,35.31,11.1,0.18,7.407,False,True,True,0,0,0,0,True,
000002.SZ,000002,000002,万科A,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19910129,12960,35.48,3.07,-3.155,31.25,False,True,True,0,0,0,0,True,
000006.SZ,000006,000006,深振业A,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19920427,12506,34.24,6.05,-1.466,47.368,False,True,True,0,0,0,0,True,
000007.SZ,000007,000007,全新好,主板,深市,主板,801200.SI,商贸零售,801203.SI,一般零售,一般零售,L,19920413,12520,34.28,9.34,0.755,37.931,False,True,True,0,0,0,0,True,
000009.SZ,000009,000009,中国宝安,主板,深市,主板,801730.SI,电力设备,801737.SI,电池,电池,L,19910625,12813,35.08,6.08,-2.564,44.444,False,True,True,0,0,0,0,True,
000011.SZ,000011,000011,深物业A,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19920330,12534,34.32,8.26,9.987,24.0,False,True,True,0,0,0,0,True,
000012.SZ,000012,000012,南玻A,主板,深市,主板,801710.SI,建筑材料,801712.SI,玻璃玻纤,玻璃玻纤,L,19920228,12565,34.4,3.74,-1.837,27.273,False,True,True,0,0,0,0,True,
000014.SZ,000014,000014,沙河股份,主板,深市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19920602,12470,34.14,8.79,-1.236,17.021,False,True,True,0,0,0,0,True,
000017.SZ,000017,000017,深中华A,主板,深市,主板,801130.SI,纺织服饰,801133.SI,饰品,饰品,L,19920331,12533,34.31,5.8,2.113,17.241,False,True,True,0,0,0,0,True,
000019.SZ,000019,000019,深粮控股,主板,深市,主板,801010.SI,农林牧渔,801012.SI,农产品加工,农产品加工,L,19921012,12338,33.78,5.87,-2.815,18.033,False,True,True,0,0,0,0,True,
000020.SZ,000020,000020,深华发A,主板,深市,主板,801080.SI,电子,801084.SI,光学光电子,光学光电子,L,19920428,12505,34.24,9.74,-2.209,19.608,False,True,True,0,0,0,0,True,
000021.SZ,000021,000021,深科技,主板,深市,主板,801080.SI,电子,801085.SI,消费电子,消费电子,L,19940202,11860,32.47,41.99,7.419,35.802,False,True,True,0,0,0,0,True,
000025.SZ,000025,000025,特力A,主板,深市,主板,801230.SI,综合,801231.SI,综合Ⅱ,综合Ⅱ,L,19930621,12086,33.09,14.14,1.435,19.444,False,True,True,0,0,0,0,True,
