metric,value
as_of_date,20260703
data_date,20260702
target_trade_date,20260703
generated_at,2026-07-03 00:28:50 北京时间
total_count,5534
default_passed_count,4957
default_excluded_count,577
board_counts,"{""主板"": 3201, ""创业板"": 1399, ""北交所"": 324, ""科创板"": 610}"
exchange_counts,"{""北交所"": 324, ""沪市"": 2315, ""深市"": 2895}"
default_passed_by_board,"{""主板"": 2902, ""创业板"": 1262, ""北交所"": 242, ""科创板"": 551}"
default_excluded_by_board,"{""主板"": 299, ""创业板"": 137, ""北交所"": 82, ""科创板"": 59}"
sw_l2_counts,"{""IT服务Ⅱ"": 132, ""一般零售"": 59, ""专业工程"": 41, ""专业服务"": 34, ""专业连锁Ⅱ"": 7, ""专用设备"": 201, ""个护用品"": 12, ""中药Ⅱ"": 68, ""乘用车"": 8, ""互联网电商"": 18, ""休闲食品"": 22, ""体育Ⅱ"": 2, ""保险Ⅱ"": 5, ""元件"": 64, ""光伏设备"": 70, ""光学光电子"": 96, ""其他家电Ⅱ"": 3, ""其他电子Ⅱ"": 34, ""其他电源设备Ⅱ"": 31, ""养殖业"": 23, ""军工电子Ⅱ"": 63, ""农业综合Ⅱ"": 3, ""农产品加工"": 25, ""农化制品"": 61, ""农商行Ⅱ"": 10, ""冶钢原料"": 9, ""出版"": 29, ""动物保健Ⅱ"": 13, ""包装印刷"": 47, ""化妆品"": 15, ""化学制品"": 183, ""化学制药"": 158, ""化学原料"": 59, ""化学纤维"": 28, ""医疗器械"": 139, ""医疗服务"": 52, ""医疗美容"": 4, ""医药商业"": 32, ""半导体"": 178, ""厨卫电器"": 9, ""商用车"": 13, ""国有大型银行Ⅱ"": 6, ""地面兵装Ⅱ"": 12, ""城商行Ⅱ"": 17, ""基础建设"": 45, ""塑料"": 78, ""多元金融"": 27, ""家居用品"": 76, ""家电零部件Ⅱ"": 35, ""小家电"": 22, ""小金属"": 27, ""工业金属"": 61, ""工程咨询服务Ⅱ"": 47, ""工程机械"": 35, ""广告营销"": 28, ""影视院线"": 19, ""房地产开发"": 88, ""房地产服务"": 11, ""房屋建设Ⅱ"": 8, ""摩托车及其他"": 17, ""教育"": 16, ""数字媒体"": 14, ""文娱用品"": 22, ""旅游及景区"": 24, ""旅游零售Ⅱ"": 2, ""普钢"": 23, ""服装家纺"": 60, ""未分类"": 4, ""林业Ⅱ"": 4, ""橡胶"": 23, ""水泥"": 21, ""汽车服务"": 11, ""汽车零部件"": 268, ""油服工程"": 14, ""油气开采Ⅱ"": 4, ""消费电子"": 99, ""渔业"": 6, ""游戏Ⅱ"": 26, ""炼化及贸易"": 30, ""焦炭Ⅱ"": 7, ""煤炭开采"": 30, ""照明设备Ⅱ"": 14, ""燃气Ⅱ"": 31, ""物流"": 48, ""特钢Ⅱ"": 12, ""环保设备Ⅱ"": 28, ""环境治理"": 109, ""玻璃玻纤"": 16, ""生物制品"": 55, ""电力"": 102, ""电子化学品Ⅱ"": 35, ""电机Ⅱ"": 28, ""电池"": 109, ""电网设备"": 138, ""电视广播Ⅱ"": 15, ""白色家电"": 10, ""白酒Ⅱ"": 20, ""种植业"": 22, ""纺织制造"": 33, ""综合Ⅱ"": 15, ""股份制银行Ⅱ"": 9, ""能源金属"": 13, ""自动化设备"": 90, ""航天装备Ⅱ"": 9, ""航海装备Ⅱ"": 10, ""航空机场"": 12, ""航空装备Ⅱ"": 47, ""航运港口"": 35, ""装修建材"": 39, ""装修装饰Ⅱ"": 23, ""计算机设备"": 90, ""证券Ⅱ"": 50, ""调味发酵品Ⅱ"": 15, ""贵金属"": 11, ""贸易Ⅱ"": 13, ""轨交设备Ⅱ"": 33, ""软件开发"": 136, ""通信服务"": 39, ""通信设备"": 89, ""通用设备"": 247, ""造纸"": 24, ""酒店餐饮"": 9, ""金属新材料"": 35, ""铁路公路"": 33, ""非白酒"": 16, ""非金属材料Ⅱ"": 13, ""风电设备"": 30, ""食品加工"": 27, ""饮料乳品"": 27, ""饰品"": 15, ""饲料"": 18, ""黑色家电"": 10}"
default_passed_by_sw_l2,"{""IT服务Ⅱ"": 117, ""一般零售"": 58, ""专业工程"": 36, ""专业服务"": 30, ""专业连锁Ⅱ"": 7, ""专用设备"": 171, ""个护用品"": 12, ""中药Ⅱ"": 62, ""乘用车"": 8, ""互联网电商"": 16, ""休闲食品"": 20, ""体育Ⅱ"": 2, ""保险Ⅱ"": 5, ""元件"": 55, ""光伏设备"": 61, ""光学光电子"": 87, ""其他家电Ⅱ"": 3, ""其他电子Ⅱ"": 29, ""其他电源设备Ⅱ"": 26, ""养殖业"": 21, ""军工电子Ⅱ"": 53, ""农业综合Ⅱ"": 3, ""农产品加工"": 19, ""农化制品"": 56, ""农商行Ⅱ"": 10, ""冶钢原料"": 9, ""出版"": 28, ""动物保健Ⅱ"": 12, ""包装印刷"": 41, ""化妆品"": 15, ""化学制品"": 160, ""化学制药"": 145, ""化学原料"": 56, ""化学纤维"": 22, ""医疗器械"": 122, ""医疗服务"": 46, ""医疗美容"": 3, ""医药商业"": 30, ""半导体"": 151, ""厨卫电器"": 8, ""商用车"": 13, ""国有大型银行Ⅱ"": 6, ""地面兵装Ⅱ"": 11, ""城商行Ⅱ"": 17, ""基础建设"": 36, ""塑料"": 71, ""多元金融"": 24, ""家居用品"": 63, ""家电零部件Ⅱ"": 32, ""小家电"": 21, ""小金属"": 22, ""工业金属"": 57, ""工程咨询服务Ⅱ"": 44, ""工程机械"": 33, ""广告营销"": 25, ""影视院线"": 17, ""房地产开发"": 77, ""房地产服务"": 9, ""房屋建设Ⅱ"": 7, ""摩托车及其他"": 15, ""教育"": 10, ""数字媒体"": 12, ""文娱用品"": 22, ""旅游及景区"": 20, ""旅游零售Ⅱ"": 2, ""普钢"": 20, ""服装家纺"": 50, ""林业Ⅱ"": 3, ""橡胶"": 20, ""水泥"": 20, ""汽车服务"": 11, ""汽车零部件"": 231, ""油服工程"": 11, ""油气开采Ⅱ"": 2, ""消费电子"": 89, ""渔业"": 6, ""游戏Ⅱ"": 24, ""炼化及贸易"": 29, ""焦炭Ⅱ"": 7, ""煤炭开采"": 29, ""照明设备Ⅱ"": 13, ""燃气Ⅱ"": 28, ""物流"": 41, ""特钢Ⅱ"": 12, ""环保设备Ⅱ"": 25, ""环境治理"": 101, ""玻璃玻纤"": 15, ""生物制品"": 51, ""电力"": 100, ""电子化学品Ⅱ"": 33, ""电机Ⅱ"": 23, ""电池"": 101, ""电网设备"": 125, ""电视广播Ⅱ"": 14, ""白色家电"": 9, ""白酒Ⅱ"": 19, ""种植业"": 21, ""纺织制造"": 31, ""综合Ⅱ"": 14, ""股份制银行Ⅱ"": 9, ""能源金属"": 13, ""自动化设备"": 83, ""航天装备Ⅱ"": 8, ""航海装备Ⅱ"": 9, ""航空机场"": 12, ""航空装备Ⅱ"": 42, ""航运港口"": 34, ""装修建材"": 33, ""装修装饰Ⅱ"": 13, ""计算机设备"": 81, ""证券Ⅱ"": 49, ""调味发酵品Ⅱ"": 14, ""贵金属"": 11, ""贸易Ⅱ"": 12, ""轨交设备Ⅱ"": 29, ""软件开发"": 126, ""通信服务"": 34, ""通信设备"": 83, ""通用设备"": 225, ""造纸"": 22, ""酒店餐饮"": 8, ""金属新材料"": 28, ""铁路公路"": 33, ""非白酒"": 10, ""非金属材料Ⅱ"": 11, ""风电设备"": 26, ""食品加工"": 23, ""饮料乳品"": 27, ""饰品"": 13, ""饲料"": 18, ""黑色家电"": 9}"
unclassified_industry_count,4
reject_reason_counts,"{""近60日停牌"": 264, ""ST"": 218, ""无最新行情"": 17, ""上市时间不足"": 245}"
default_age_days,730
default_suspend_window,60
